segment_variable,group,n,question_number,scale_type,item,mean,pct_1_2,pct_4_5,pct_5,net
Gender,Male,300,34,importance,Security in WordPress,4.7,1.3,96.0,76.0,94.7
Gender,Female,80,34,importance,Security in WordPress,4.72,0.0,95.0,77.5,95.0
Gender,Prefer not to answer,35,34,importance,Security in WordPress,4.49,5.7,91.4,68.6,85.7
Gender,Non-binary,15,34,importance,Security in WordPress,4.6,0.0,86.7,73.3,86.7
Gender,All respondents,431,34,importance,Web standards and compliance,4.57,1.6,93.7,65.9,92.1
Gender,Male,300,34,importance,Web standards and compliance,4.58,1.3,93.7,66.3,92.3
Gender,Female,80,34,importance,Web standards and compliance,4.65,1.2,95.0,71.2,93.8
Gender,Prefer not to answer,35,34,importance,Web standards and compliance,4.29,5.7,91.4,48.6,85.7
Gender,Non-binary,15,34,importance,Web standards and compliance,4.67,0.0,93.3,73.3,93.3
Gender,All respondents,431,34,importance,WordPress leadership,4.04,8.1,73.8,43.4,65.7
Gender,Male,300,34,importance,WordPress leadership,4.08,6.3,75.0,43.0,68.7
Gender,Female,80,34,importance,WordPress leadership,4.22,6.2,78.8,53.8,72.5
Gender,Prefer not to answer,35,34,importance,WordPress leadership,3.29,28.6,51.4,25.7,22.9
Gender,Non-binary,15,34,importance,WordPress leadership,4.0,6.7,73.3,40.0,66.7
Gender,All respondents,431,34,importance,WordPress governance,4.17,5.8,76.6,50.8,70.8
Gender,Male,300,34,importance,WordPress governance,4.17,5.0,75.3,50.0,70.3
Gender,Female,80,34,importance,WordPress governance,4.38,3.8,86.2,57.5,82.5
Gender,Prefer not to answer,35,34,importance,WordPress governance,3.69,17.1,62.9,40.0,45.7
Gender,Non-binary,15,34,importance,WordPress governance,4.27,6.7,80.0,60.0,73.3
Gender,All respondents,431,34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",3.14,25.5,41.5,12.5,16.0
Gender,Male,300,34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",3.12,25.0,39.0,10.7,14.0
Gender,Female,80,34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",3.4,21.2,57.5,17.5,36.2
Gender,Prefer not to answer,35,34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",2.74,37.1,31.4,11.4,-5.7
Gender,Non-binary,15,34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",3.07,33.3,33.3,26.7,0.0
Gender,All respondents,431,34,importance,Enterprise/scale issues,3.13,24.8,40.1,11.1,15.3
Gender,Male,300,34,importance,Enterprise/scale issues,3.16,23.3,40.3,11.7,17.0
Gender,Female,80,34,importance,Enterprise/scale issues,3.31,20.0,48.8,13.8,28.8
Gender,Prefer not to answer,35,34,importance,Enterprise/scale issues,2.54,48.6,22.9,5.7,-25.7
Gender,Non-binary,15,34,importance,Enterprise/scale issues,2.87,26.7,33.3,0.0,6.7
Gender,All respondents,431,34,importance,Collaboration with the greater open source ecosystem,3.82,8.8,67.7,26.0,58.9
Gender,Male,300,34,importance,Collaboration with the greater open source ecosystem,3.81,8.7,68.3,24.0,59.7
Gender,Female,80,34,importance,Collaboration with the greater open source ecosystem,4.03,3.8,71.2,36.2,67.5
Gender,Prefer not to answer,35,34,importance,Collaboration with the greater open source ecosystem,3.43,20.0,54.3,20.0,34.3
Gender,Non-binary,15,34,importance,Collaboration with the greater open source ecosystem,3.8,13.3,66.7,26.7,53.3
Gender,All respondents,431,38,importance,Personal capacity,4.22,3.7,82.8,44.5,79.1
Gender,Male,300,38,importance,Personal capacity,4.2,3.7,82.3,42.7,78.7
Gender,Female,80,38,importance,Personal capacity,4.34,3.8,85.0,53.8,81.2
Gender,Prefer not to answer,35,38,importance,Personal capacity,3.94,5.7,74.3,31.4,68.6
Gender,Non-binary,15,38,importance,Personal capacity,4.67,0.0,100.0,66.7,100.0
Gender,All respondents,431,38,importance,Financial incentives/restraints,3.05,27.4,33.6,11.8,6.3
Gender,Male,300,38,importance,Financial incentives/restraints,3.0,28.3,30.7,10.3,2.3
Gender,Female,80,38,importance,Financial incentives/restraints,3.3,21.2,45.0,16.2,23.8
Gender,Prefer not to answer,35,38,importance,Financial incentives/restraints,2.91,31.4,28.6,8.6,-2.9
Gender,Non-binary,15,38,importance,Financial incentives/restraints,3.07,33.3,46.7,26.7,13.3
Gender,All respondents,431,38,importance,Impact of my contributions to the project,3.4,14.4,47.8,12.8,33.4
Gender,Male,300,38,importance,Impact of my contributions to the project,3.41,12.7,48.0,10.7,35.3
Gender,Female,80,38,importance,Impact of my contributions to the project,3.54,16.2,53.8,21.2,37.5
Gender,Prefer not to answer,35,38,importance,Impact of my contributions to the project,2.97,28.6,37.1,8.6,8.6
Gender,Non-binary,15,38,importance,Impact of my contributions to the project,3.53,6.7,40.0,20.0,33.3
Gender,All respondents,431,38,importance,Impact of my participation on my professional or personal life,3.6,9.5,58.5,15.3,49.0
Gender,Male,300,38,importance,Impact of my participation on my professional or personal life,3.59,9.3,59.0,13.3,49.7
Gender,Female,80,38,importance,Impact of my participation on my professional or personal life,3.88,6.2,67.5,26.2,61.2
Gender,Prefer not to answer,35,38,importance,Impact of my participation on my professional or personal life,3.23,17.1,45.7,8.6,28.6
Gender,Non-binary,15,38,importance,Impact of my participation on my professional or personal life,3.33,13.3,33.3,13.3,20.0
Gender,All respondents,431,38,importance,Understanding how to participate,3.59,10.7,59.6,16.2,49.0
Gender,Male,300,38,importance,Understanding how to participate,3.57,10.0,59.0,13.7,49.0
Gender,Female,80,38,importance,Understanding how to participate,3.88,6.2,67.5,28.7,61.2
Gender,Prefer not to answer,35,38,importance,Understanding how to participate,3.06,25.7,37.1,11.4,11.4
Gender,Non-binary,15,38,importance,Understanding how to participate,3.8,13.3,86.7,13.3,73.3
Gender,All respondents,431,38,importance,Mentorship or guidance,3.08,23.9,33.4,7.4,9.5
Gender,Male,300,38,importance,Mentorship or guidance,3.05,24.3,32.3,6.3,8.0
Gender,Female,80,38,importance,Mentorship or guidance,3.46,13.8,48.8,16.2,35.0
Gender,Prefer not to answer,35,38,importance,Mentorship or guidance,2.6,37.1,11.4,0.0,-25.7
Gender,Non-binary,15,38,importance,Mentorship or guidance,2.73,40.0,26.7,0.0,-13.3
Gender,All respondents,431,38,importance,Project roadmap,3.43,17.2,51.7,14.2,34.6
Gender,Male,300,38,importance,Project roadmap,3.43,16.0,50.7,13.0,34.7
Gender,Female,80,38,importance,Project roadmap,3.59,16.2,56.2,22.5,40.0
Gender,Prefer not to answer,35,38,importance,Project roadmap,3.17,25.7,54.3,8.6,28.6
Gender,Non-binary,15,38,importance,Project roadmap,3.07,26.7,40.0,6.7,13.3
Gender,All respondents,431,38,importance,Project leadership,3.83,12.5,67.3,32.7,54.8
Gender,Male,300,38,importance,Project leadership,3.82,12.0,67.7,30.3,55.7
Gender,Female,80,38,importance,Project leadership,3.92,11.2,68.8,38.8,57.5
Gender,Prefer not to answer,35,38,importance,Project leadership,3.57,17.1,57.1,31.4,40.0
Gender,Non-binary,15,38,importance,Project leadership,4.0,20.0,73.3,53.3,53.3
Gender,All respondents,431,38,importance,Project governance/policies,3.85,10.4,66.4,32.7,55.9
Gender,Male,300,38,importance,Project governance/policies,3.82,11.3,65.3,31.3,54.0
Gender,Female,80,38,importance,Project governance/policies,4.03,7.5,72.5,38.8,65.0
Gender,Prefer not to answer,35,38,importance,Project governance/policies,3.71,11.4,62.9,31.4,51.4
Gender,Non-binary,15,38,importance,Project governance/policies,3.8,6.7,60.0,33.3,53.3
Gender,All respondents,431,38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",3.99,7.7,75.6,33.6,68.0
Gender,Male,300,38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",3.94,8.0,73.3,31.3,65.3
Gender,Female,80,38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",4.21,5.0,83.8,42.5,78.8
Gender,Prefer not to answer,35,38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",3.74,14.3,68.6,28.6,54.3
Gender,Non-binary,15,38,importance,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",4.4,0.0,93.3,46.7,93.3
Gender,All respondents,431,38,importance,Participation in the WordPress community,3.52,10.0,53.4,15.3,43.4
Gender,Male,300,38,importance,Participation in the WordPress community,3.58,7.3,55.0,16.3,47.7
Gender,Female,80,38,importance,Participation in the WordPress community,3.74,6.2,63.7,18.8,57.5
Gender,Prefer not to answer,35,38,importance,Participation in the WordPress community,2.66,40.0,22.9,2.9,-17.1
Gender,Non-binary,15,38,importance,Participation in the WordPress community,3.27,13.3,40.0,6.7,26.7
Gender,All respondents,431,38,importance,Feeling welcome/included,4.06,5.8,76.3,39.2,70.5
Gender,Male,300,38,importance,Feeling welcome/included,4.02,6.0,75.7,35.7,69.7
Gender,Female,80,38,importance,Feeling welcome/included,4.53,0.0,92.5,60.0,92.5
Gender,Prefer not to answer,35,38,importance,Feeling welcome/included,3.31,20.0,45.7,20.0,25.7
Gender,Non-binary,15,38,importance,Feeling welcome/included,4.27,0.0,80.0,46.7,80.0
Gender,All respondents,431,38,importance,Participating in a language other than English,2.46,45.2,19.7,6.3,-25.5
Gender,Male,300,38,importance,Participating in a language other than English,2.42,47.0,19.7,6.3,-27.3
Gender,Female,80,38,importance,Participating in a language other than English,2.75,35.0,22.5,8.8,-12.5
Gender,Prefer not to answer,35,38,importance,Participating in a language other than English,2.06,57.1,5.7,0.0,-51.4
Gender,Non-binary,15,38,importance,Participating in a language other than English,2.73,40.0,40.0,6.7,0.0
Gender,All respondents,431,38,importance,Working asynchronously,3.61,11.6,55.5,24.1,43.9
Gender,Male,300,38,importance,Working asynchronously,3.6,12.3,56.3,23.3,44.0
Gender,Female,80,38,importance,Working asynchronously,3.74,5.0,58.8,25.0,53.8
Gender,Prefer not to answer,35,38,importance,Working asynchronously,3.4,20.0,48.6,25.7,28.6
Gender,Non-binary,15,38,importance,Working asynchronously,3.53,13.3,40.0,33.3,26.7
Gender,All respondents,431,50,agreement,Attending in-person WordPress-related events is important to me.,3.13,35.3,46.6,21.3,11.4
Gender,Male,300,50,agreement,Attending in-person WordPress-related events is important to me.,3.2,33.3,48.7,23.3,15.3
Gender,Female,80,50,agreement,Attending in-person WordPress-related events is important to me.,3.41,23.8,55.0,18.8,31.3
Gender,Prefer not to answer,35,50,agreement,Attending in-person WordPress-related events is important to me.,1.94,74.3,11.4,5.7,-62.9
Gender,Non-binary,15,50,agreement,Attending in-person WordPress-related events is important to me.,3.2,40.0,46.7,33.3,6.7
Gender,All respondents,431,57,importance,A location local to you,3.73,13.9,65.9,27.8,52.0
Gender,Male,300,57,importance,A location local to you,3.73,14.7,67.0,28.0,52.3
Gender,Female,80,57,importance,A location local to you,3.75,12.5,62.5,27.5,50.0
Gender,Prefer not to answer,35,57,importance,A location local to you,3.6,11.4,60.0,22.9,48.6
Gender,Non-binary,15,57,importance,A location local to you,3.93,13.3,73.3,40.0,60.0
Gender,All respondents,431,57,importance,A regional/destination location,3.42,16.7,54.3,13.9,37.6
Gender,Male,300,57,importance,A regional/destination location,3.46,15.3,57.0,14.7,41.7
Gender,Female,80,57,importance,A regional/destination location,3.6,10.0,57.5,16.2,47.5
Gender,Prefer not to answer,35,57,importance,A regional/destination location,2.6,40.0,22.9,0.0,-17.1
Gender,Non-binary,15,57,importance,A regional/destination location,3.4,26.7,53.3,20.0,26.7
Gender,All respondents,431,57,importance,Events with smaller attendance,2.91,24.8,25.1,3.9,0.2
Gender,Male,300,57,importance,Events with smaller attendance,2.87,26.0,24.0,3.7,-2.0
Gender,Female,80,57,importance,Events with smaller attendance,2.89,23.8,20.0,2.5,-3.8
Gender,Prefer not to answer,35,57,importance,Events with smaller attendance,3.11,22.9,40.0,8.6,17.1
Gender,Non-binary,15,57,importance,Events with smaller attendance,3.27,13.3,40.0,6.7,26.7
Gender,All respondents,431,57,importance,Events with larger attendance,2.72,31.6,16.9,2.8,-14.6
Gender,Male,300,57,importance,Events with larger attendance,2.76,30.7,17.3,3.0,-13.3
Gender,Female,80,57,importance,Events with larger attendance,2.81,26.2,20.0,2.5,-6.2
Gender,Prefer not to answer,35,57,importance,Events with larger attendance,2.31,45.7,8.6,2.9,-37.1
Gender,Non-binary,15,57,importance,Events with larger attendance,2.47,46.7,13.3,0.0,-33.3
Gender,All respondents,431,57,importance,"Hard skill development (technical instruction, workshops, etc.)",3.37,18.1,52.9,11.8,34.8
Gender,Male,300,57,importance,"Hard skill development (technical instruction, workshops, etc.)",3.32,20.3,52.3,11.3,32.0
Gender,Female,80,57,importance,"Hard skill development (technical instruction, workshops, etc.)",3.6,12.5,60.0,16.2,47.5
Gender,Prefer not to answer,35,57,importance,"Hard skill development (technical instruction, workshops, etc.)",3.26,11.4,42.9,5.7,31.4
Gender,Non-binary,15,57,importance,"Hard skill development (technical instruction, workshops, etc.)",3.33,20.0,53.3,13.3,33.3
Gender,All respondents,431,57,importance,"Soft skill development (business development, personal development, etc.)",3.08,24.8,38.5,6.7,13.7
Gender,Male,300,57,importance,"Soft skill development (business development, personal development, etc.)",3.06,25.7,37.7,7.0,12.0
Gender,Female,80,57,importance,"Soft skill development (business development, personal development, etc.)",3.34,17.5,48.8,8.8,31.2
Gender,Prefer not to answer,35,57,importance,"Soft skill development (business development, personal development, etc.)",2.69,31.4,20.0,2.9,-11.4
Gender,Non-binary,15,57,importance,"Soft skill development (business development, personal development, etc.)",2.93,33.3,46.7,0.0,13.3
Gender,All respondents,431,57,importance,Topics of sessions / panels,3.69,11.1,67.3,18.6,56.1
Gender,Male,300,57,importance,Topics of sessions / panels,3.64,12.3,65.7,17.0,53.3
Gender,Female,80,57,importance,Topics of sessions / panels,3.94,5.0,75.0,25.0,70.0
Gender,Prefer not to answer,35,57,importance,Topics of sessions / panels,3.51,14.3,65.7,11.4,51.4
Gender,Non-binary,15,57,importance,Topics of sessions / panels,3.73,13.3,60.0,33.3,46.7
Gender,All respondents,431,57,importance,Particular speakers / keynotes,3.14,21.8,38.7,7.7,16.9
Gender,Male,300,57,importance,Particular speakers / keynotes,3.14,21.0,38.7,7.0,17.7
Gender,Female,80,57,importance,Particular speakers / keynotes,3.44,12.5,47.5,11.2,35.0
Gender,Prefer not to answer,35,57,importance,Particular speakers / keynotes,2.57,45.7,22.9,2.9,-22.9
Gender,Non-binary,15,57,importance,Particular speakers / keynotes,2.93,33.3,33.3,13.3,0.0
Gender,All respondents,431,57,importance,Meeting professional development requirements,2.83,32.0,28.8,7.0,-3.2
Gender,Male,300,57,importance,Meeting professional development requirements,2.9,30.0,31.7,8.0,1.7
Gender,Female,80,57,importance,Meeting professional development requirements,2.89,30.0,31.2,6.2,1.2
Gender,Prefer not to answer,35,57,importance,Meeting professional development requirements,2.4,42.9,8.6,2.9,-34.3
Gender,Non-binary,15,57,importance,Meeting professional development requirements,2.13,60.0,6.7,0.0,-53.3
Gender,All respondents,431,57,importance,Networking opportunities,3.65,14.2,60.6,25.1,46.4
Gender,Male,300,57,importance,Networking opportunities,3.7,13.0,63.0,26.3,50.0
Gender,Female,80,57,importance,Networking opportunities,3.88,10.0,67.5,32.5,57.5
Gender,Prefer not to answer,35,57,importance,Networking opportunities,2.89,31.4,28.6,8.6,-2.9
Gender,Non-binary,15,57,importance,Networking opportunities,3.13,20.0,53.3,0.0,33.3
Gender,All respondents,431,57,importance,Community development/engagement,3.61,11.8,61.5,18.3,49.7
Gender,Male,300,57,importance,Community development/engagement,3.65,11.3,63.3,19.3,52.0
Gender,Female,80,57,importance,Community development/engagement,3.82,7.5,70.0,22.5,62.5
Gender,Prefer not to answer,35,57,importance,Community development/engagement,2.86,25.7,28.6,0.0,2.9
Gender,Non-binary,15,57,importance,Community development/engagement,3.53,13.3,53.3,20.0,40.0
Gender,All respondents,431,57,importance,Cost of ticket,3.44,19.5,54.5,17.6,35.0
Gender,Male,300,57,importance,Cost of ticket,3.33,22.3,51.0,14.7,28.7
Gender,Female,80,57,importance,Cost of ticket,3.75,10.0,66.2,21.2,56.2
Gender,Prefer not to answer,35,57,importance,Cost of ticket,3.46,20.0,54.3,20.0,34.3
Gender,Non-binary,15,57,importance,Cost of ticket,3.87,13.3,60.0,46.7,46.7
Gender,All respondents,431,57,importance,"Cost of attendance (travel, housing, etc.)",3.9,11.4,72.4,34.3,61.0
Gender,Male,300,57,importance,"Cost of attendance (travel, housing, etc.)",3.82,13.0,70.0,31.0,57.0
Gender,Female,80,57,importance,"Cost of attendance (travel, housing, etc.)",4.26,3.8,83.8,47.5,80.0
Gender,Prefer not to answer,35,57,importance,"Cost of attendance (travel, housing, etc.)",3.71,14.3,68.6,25.7,54.3
Gender,Non-binary,15,57,importance,"Cost of attendance (travel, housing, etc.)",3.93,13.3,66.7,46.7,53.3
Gender,All respondents,431,59,sentiment,"Right now, how do you generally feel about open source software?",4.16,3.9,81.7,39.4,77.7
Gender,Male,300,59,sentiment,"Right now, how do you generally feel about open source software?",4.21,4.7,82.0,44.7,77.3
Gender,Female,80,59,sentiment,"Right now, how do you generally feel about open source software?",3.96,2.5,77.5,21.2,75.0
Gender,Prefer not to answer,35,59,sentiment,"Right now, how do you generally feel about open source software?",4.11,2.9,85.7,31.4,82.9
Gender,Non-binary,15,59,sentiment,"Right now, how do you generally feel about open source software?",4.4,0.0,86.7,53.3,86.7
Gender,All respondents,431,62,importance,Open source software,4.59,1.2,93.5,68.0,92.3
Gender,Male,300,62,importance,Open source software,4.61,1.0,92.3,70.0,91.3
Gender,Female,80,62,importance,Open source software,4.53,1.2,96.2,58.8,95.0
Gender,Prefer not to answer,35,62,importance,Open source software,4.54,2.9,94.3,65.7,91.4
Gender,Non-binary,15,62,importance,Open source software,4.8,0.0,100.0,80.0,100.0
Gender,All respondents,431,62,importance,Open source values (whatever that means to you)required,4.51,3.2,91.9,64.3,88.6
Gender,Male,300,62,importance,Open source values (whatever that means to you)required,4.49,3.7,90.3,63.7,86.7
Gender,Female,80,62,importance,Open source values (whatever that means to you)required,4.55,2.5,95.0,63.7,92.5
Gender,Prefer not to answer,35,62,importance,Open source values (whatever that means to you)required,4.54,2.9,97.1,62.9,94.3
Gender,Non-binary,15,62,importance,Open source values (whatever that means to you)required,4.73,0.0,93.3,80.0,93.3
Gender,All respondents,431,62,importance,The sustainability of open source projects,4.58,1.2,93.3,66.6,92.1
Gender,Male,300,62,importance,The sustainability of open source projects,4.53,1.3,91.3,64.0,90.0
Gender,Female,80,62,importance,The sustainability of open source projects,4.7,0.0,98.8,71.2,98.8
Gender,Prefer not to answer,35,62,importance,The sustainability of open source projects,4.63,2.9,97.1,71.4,94.3
Gender,Non-binary,15,62,importance,The sustainability of open source projects,4.73,0.0,93.3,80.0,93.3
Gender,All respondents,431,62,importance,Open source in WordPress,4.51,2.8,92.1,63.1,89.3
Gender,Male,300,62,importance,Open source in WordPress,4.5,3.0,91.3,63.0,88.3
Gender,Female,80,62,importance,Open source in WordPress,4.62,0.0,97.5,65.0,97.5
Gender,Prefer not to answer,35,62,importance,Open source in WordPress,4.23,8.6,85.7,54.3,77.1
Gender,Non-binary,15,62,importance,Open source in WordPress,4.67,0.0,93.3,73.3,93.3
Gender,All respondents,431,62,importance,Open source in AI,3.24,29.2,50.1,27.4,20.9
Gender,Male,300,62,importance,Open source in AI,3.33,26.7,52.3,28.0,25.7
Gender,Female,80,62,importance,Open source in AI,3.36,23.8,52.5,28.7,28.8
Gender,Prefer not to answer,35,62,importance,Open source in AI,2.34,57.1,31.4,17.1,-25.7
Gender,Non-binary,15,62,importance,Open source in AI,3.0,40.0,40.0,33.3,0.0
Gender,All respondents,431,67,sentiment,"Right now, how do you generally feel about AI in the tech industry?",2.6,46.2,31.1,10.0,-15.1
Gender,Male,300,67,sentiment,"Right now, how do you generally feel about AI in the tech industry?",2.76,43.7,36.7,13.3,-7.0
Gender,Female,80,67,sentiment,"Right now, how do you generally feel about AI in the tech industry?",2.66,33.8,23.8,2.5,-10.0
Gender,Prefer not to answer,35,67,sentiment,"Right now, how do you generally feel about AI in the tech industry?",1.66,77.1,11.4,2.9,-65.7
Gender,Non-binary,15,67,sentiment,"Right now, how do you generally feel about AI in the tech industry?",1.53,86.7,6.7,0.0,-80.0
Gender,All respondents,431,68,sentiment,"Right now, how do you generally feel about AI in WordPress?",2.35,49.9,16.9,3.9,-32.9
Gender,Male,300,68,sentiment,"Right now, how do you generally feel about AI in WordPress?",2.43,48.3,19.3,5.7,-29.0
Gender,Female,80,68,sentiment,"Right now, how do you generally feel about AI in WordPress?",2.51,38.8,15.0,0.0,-23.8
Gender,Prefer not to answer,35,68,sentiment,"Right now, how do you generally feel about AI in WordPress?",1.57,77.1,5.7,0.0,-71.4
Gender,Non-binary,15,68,sentiment,"Right now, how do you generally feel about AI in WordPress?",1.6,73.3,6.7,0.0,-66.7
Gender,All respondents,431,69,sentiment,"Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?",2.7,44.8,34.6,12.5,-10.2
Gender,Male,300,69,sentiment,"Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?",2.83,42.0,38.7,15.7,-3.3
Gender,Female,80,69,sentiment,"Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?",2.79,37.5,35.0,7.5,-2.5
Gender,Prefer not to answer,35,69,sentiment,"Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?",1.77,71.4,8.6,2.9,-62.9
Gender,Non-binary,15,69,sentiment,"Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?",1.8,73.3,13.3,0.0,-60.0
Age,All respondents,431,19,agreement,I consider myself to be a contributor to the WordPress open source project.,3.04,37.1,42.0,17.6,4.9
Age,35-44,161,19,agreement,I consider myself to be a contributor to the WordPress open source project.,3.17,33.5,44.7,19.9,11.2
Age,45-54,135,19,agreement,I consider myself to be a contributor to the WordPress open source project.,3.0,39.3,42.2,16.3,3.0
Age,55-64,65,19,agreement,I consider myself to be a contributor to the WordPress open source project.,3.02,36.9,43.1,16.9,6.2
Age,25-34,39,19,agreement,I consider myself to be a contributor to the WordPress open source project.,2.97,38.5,41.0,20.5,2.6
Age,65-74,20,19,agreement,I consider myself to be a contributor to the WordPress open source project.,2.95,35.0,30.0,10.0,-5.0
Age,All respondents,431,22,agreement,I consider myself to be a member of the WordPress community.,3.88,12.3,71.5,32.9,59.2
Age,35-44,161,22,agreement,I consider myself to be a member of the WordPress community.,4.0,11.2,75.2,38.5,64.0
Age,45-54,135,22,agreement,I consider myself to be a member of the WordPress community.,3.88,11.9,70.4,33.3,58.5
