test_type,segment_variable,outcome_measure,question_number,groups_compared,statistic,p,significance,lowest_scoring_group,highest_scoring_group,spread_in_group_means
ordinal (Kruskal-Wallis),Community membership,Participation in the WordPress community,38,5,125.84,3.0132184287984296e-26,***,Strongly disagree,Strongly agree,1.65
ordinal (Kruskal-Wallis),Contributor identity,Attending in-person WordPress-related events is important to me.,50,5,124.79,5.062467872681522e-26,***,Strongly disagree,Strongly agree,2.08
ordinal (Kruskal-Wallis),Contribution type,Attending in-person WordPress-related events is important to me.,50,4,118.37,1.7337555327481606e-25,***,No contribution work,Community and code work,1.67
ordinal (Kruskal-Wallis),Uses AI at work,Open source in AI,62,2,107.09,4.255368308047447e-25,***,Does not use AI,Uses AI,1.81
ordinal (Kruskal-Wallis),Participation level,Contributing to WordPress,34,6,116.77,1.5172901850648508e-23,***,Do not participate / Not applicable,Very active participation,2.43
ordinal (Kruskal-Wallis),Community membership,Contributing to WordPress,34,5,113.15,1.545474622823212e-23,***,Strongly disagree,Strongly agree,2.01
ordinal (Kruskal-Wallis),Participation level,Participation in the WordPress community,38,6,116.46,1.7640982016058355e-23,***,Do not participate / Not applicable,Very active participation,1.9
ordinal (Kruskal-Wallis),Event relationship,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,5,110.42,5.908735579731255e-23,***,"Never attended, not interested","Attend, multiple times a year",1.81
ordinal (Kruskal-Wallis),Community membership,The WordPress community,34,5,109.53,9.161667696522604e-23,***,Strongly disagree,Strongly agree,1.82
ordinal (Kruskal-Wallis),Participation level,The WordPress community,34,6,112.13,1.45548356525956e-22,***,Do not participate / Not applicable,Very active participation,2.01
categorical (chi-square),Uses AI at work,"With regard to AI's current impact on your work or income, which of the following are true",71,2,104.47,1.6969038892378305e-22,***,,,
ordinal (Kruskal-Wallis),Event relationship,"Right now, how do you generally feel about AI in the tech industry?",67,5,104.43,1.1216393436225822e-21,***,"Never attended, not interested","Attend, multiple times a year",1.74
ordinal (Kruskal-Wallis),Event relationship,Participation in the WordPress community,38,5,102.91,2.3665940746113756e-21,***,"Never attended, not interested","Attend, multiple times a year",1.25
ordinal (Kruskal-Wallis),Contribution type,WordPress events and meetups,34,4,97.77,4.681619256353553e-21,***,No contribution work,Community and code work,1.39
categorical (chi-square),Event relationship,Are you currently using AI in your work?,65,5,100.56,7.484472063023792e-21,***,,,
categorical (chi-square),Uses AI at work,Which best describes your participation in official WordPress open source project events (,51,2,102.22,1.796298806859284e-20,***,,,
ordinal (Kruskal-Wallis),Event relationship,Networking opportunities,57,5,95.51,8.873046841664248e-20,***,"Never attended, not interested","Attend, multiple times a year",1.33
categorical (chi-square),Volunteers outside WordPress and open source,Do you contribute to open source projects other than the WordPress open source project?,63,2,95.43,9.249916469940831e-20,***,,,
ordinal (Kruskal-Wallis),Event relationship,Community development/engagement,57,5,95.02,1.130720741978218e-19,***,"Never attended, not interested","Attend, multiple times a year",1.19
ordinal (Kruskal-Wallis),Contribution type,Contributing to WordPress,34,4,91.31,1.1460452831758133e-19,***,No contribution work,Community and code work,1.18
categorical (chi-square),Uses AI at work,"With regard to AI's future impact on your work or income, which of the following are true ",73,2,91.18,1.2232035433231193e-19,***,,,
ordinal (Kruskal-Wallis),Community membership,"Right now, how do you generally feel about AI in WordPress?",68,5,94.35,1.5639399724420818e-19,***,Strongly disagree,Strongly agree,1.65
ordinal (Kruskal-Wallis),Uses AI at work,AI in WordPress,34,2,81.51,1.744253966016202e-19,***,Does not use AI,Uses AI,1.33
ordinal (Kruskal-Wallis),Participation level,"Right now, how do you generally feel about AI in WordPress?",68,6,92.48,2.020523830237417e-18,***,Do not participate / Not applicable,Very active participation,1.79
ordinal (Kruskal-Wallis),Contributor identity,Participation in the WordPress community,38,5,88.98,2.1650402768477943e-18,***,Strongly disagree,Strongly agree,1.2
ordinal (Kruskal-Wallis),Uses AI at work,Attending in-person WordPress-related events is important to me.,50,2,76.33,2.3982408131425e-18,***,Does not use AI,Uses AI,1.33
ordinal (Kruskal-Wallis),Event relationship,The WordPress community,34,5,88.31,3.0058178729748097e-18,***,"Never attended, not interested","Attend, multiple times a year",1.11
categorical (chi-square),Contributes to open source elsewhere,"Do you contribute to or volunteer for organizations, projects or causes other than WordPre",64,2,85.91,9.739222931804564e-18,***,,,
ordinal (Kruskal-Wallis),Event relationship,Contributing to WordPress,34,5,84.78,1.6888134487558842e-17,***,"Never attended, not interested","Attend, multiple times a year",1.24
ordinal (Kruskal-Wallis),Participation change,"Right now, how do you feel overall about the WordPress open source project?",28,5,84.22,2.2174239915099242e-17,***,Significantly decreased,Significantly increased,1.61
ordinal (Kruskal-Wallis),Contributor identity,The WordPress community,34,5,82.61,4.86868153717906e-17,***,Strongly disagree,Strongly agree,1.1
ordinal (Kruskal-Wallis),Contribution type,Participation in the WordPress community,38,4,78.01,8.180252452556597e-17,***,No contribution work,Community and code work,0.82
ordinal (Kruskal-Wallis),Event relationship,AI in WordPress,34,5,79.18,2.602031419653647e-16,***,"Never attended, not interested","Attend, multiple times a year",1.55
ordinal (Kruskal-Wallis),Contributor identity,"Right now, how do you generally feel about AI in WordPress?",68,5,78.82,3.0903939622822354e-16,***,Strongly disagree,Strongly agree,1.38
ordinal (Kruskal-Wallis),Contribution type,The WordPress community,34,4,73.66,7.013107238681265e-16,***,No contribution work,Community and code work,0.79
ordinal (Kruskal-Wallis),Community membership,"Right now, how do you generally feel about AI in the tech industry?",67,5,76.23,1.0933808006198868e-15,***,Strongly disagree,Strongly agree,1.51
ordinal (Kruskal-Wallis),Contribution type,"Right now, how do you generally feel about AI in WordPress?",68,4,70.94,2.6813201622174343e-15,***,No contribution work,Community and code work,1.01
ordinal (Kruskal-Wallis),Event relationship,How do you feel about the future of the WordPress open source project?,31,5,73.98,3.2713245676487713e-15,***,Stopped attending,"Attend, multiple times a year",1.0
ordinal (Kruskal-Wallis),Participation level,"Right now, how do you generally feel about AI in the tech industry?",67,6,76.61,4.289076981278205e-15,***,Do not participate / Not applicable,Moderately active participation,1.76
ordinal (Kruskal-Wallis),Community membership,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,5,71.43,1.1322889767514171e-14,***,Strongly disagree,Strongly agree,1.74
ordinal (Kruskal-Wallis),Participation level,AI in WordPress,34,6,73.8,1.653495973700598e-14,***,Do not participate / Not applicable,Very active participation,1.93
ordinal (Kruskal-Wallis),Community membership,AI in WordPress,34,5,70.4,1.8674442538884623e-14,***,Strongly disagree,Strongly agree,1.86
ordinal (Kruskal-Wallis),Income depends on WordPress,I consider myself to be a member of the WordPress community.,22,3,62.73,2.3903036215894768e-14,***,No,Yes,0.89
ordinal (Kruskal-Wallis),Community membership,Community development/engagement,57,5,68.73,4.200070546342608e-14,***,Strongly disagree,Strongly agree,1.21
ordinal (Kruskal-Wallis),Participation level,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,6,71.73,4.470505510522976e-14,***,Do not participate / Not applicable,Very active participation,1.8
ordinal (Kruskal-Wallis),Participation change,How do you feel about the future of the WordPress open source project?,31,5,67.92,6.239017813249903e-14,***,Significantly decreased,Significantly increased,1.6
categorical (chi-square),Income depends on WordPress,How would you describe your current level of community participation in the WordPress open,36,3,82.95,1.3201004096629713e-13,***,,,
ordinal (Kruskal-Wallis),Uses AI at work,WordPress events and meetups,34,2,54.53,1.534075755979123e-13,***,Does not use AI,Uses AI,1.04
ordinal (Kruskal-Wallis),Participation level,Community development/engagement,57,6,68.39,2.2159377360319638e-13,***,Do not participate / Not applicable,Very active participation,1.5
ordinal (Kruskal-Wallis),Contributor identity,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,5,60.98,1.8095788045098074e-12,***,Strongly disagree,Strongly agree,1.35
ordinal (Kruskal-Wallis),Event relationship,Open source in AI,62,5,60.23,2.599266788230676e-12,***,"Never attended, not interested","Attend, multiple times a year",1.54
ordinal (Kruskal-Wallis),Contributor identity,"Right now, how do you generally feel about AI in the tech industry?",67,5,59.57,3.5675948609628174e-12,***,Strongly disagree,Strongly agree,1.35
ordinal (Kruskal-Wallis),Contribution type,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,4,55.68,4.912013256454279e-12,***,No contribution work,Community and code work,1.11
ordinal (Kruskal-Wallis),Uses AI at work,I consider myself to be a member of the WordPress community.,22,2,46.72,8.208730347028863e-12,***,Does not use AI,Uses AI,0.76
ordinal (Kruskal-Wallis),Contributor identity,Community development/engagement,57,5,56.3,1.7336605535662664e-11,***,Strongly disagree,Strongly agree,0.98
categorical (chi-square),Participation level,Are you currently using AI in your work?,65,6,58.58,2.3871700218314845e-11,***,,,
categorical (chi-square),Uses AI at work,How would you describe your current level of community participation in the WordPress open,36,2,58.58,2.3871700218314926e-11,***,,,
ordinal (Kruskal-Wallis),Income depends on WordPress,I consider myself to be a contributor to the WordPress open source project.,19,3,48.67,2.6998550471790292e-11,***,No,Yes,1.02
categorical (chi-square),Participation change,Has your sentiment toward the WordPress open source project changed over the past 24 month,29,5,52.94,8.753278230152046e-11,***,,,
ordinal (Kruskal-Wallis),Participation level,Open source in AI,62,6,55.8,8.945881425611736e-11,***,Do not participate / Not applicable,Very active participation,1.79
ordinal (Kruskal-Wallis),Contribution type,Community development/engagement,57,4,49.68,9.363090919698012e-11,***,No contribution work,Community and code work,0.75
categorical (chi-square),Contributor identity,Has your level of community participation in the WordPress open source project changed in ,37,5,81.33,9.556444297196062e-11,***,,,
ordinal (Kruskal-Wallis),Uses AI at work,Networking opportunities,57,2,40.78,1.7031012652656267e-10,***,Does not use AI,Uses AI,0.78
ordinal (Kruskal-Wallis),Uses AI at work,I consider myself to be a contributor to the WordPress open source project.,19,2,40.69,1.7832666591521892e-10,***,Does not use AI,Uses AI,0.93
ordinal (Kruskal-Wallis),Uses AI at work,Enterprise/scale issues,34,2,39.76,2.8769190878243035e-10,***,Does not use AI,Uses AI,0.8
categorical (chi-square),Contribution type,Are you currently using AI in your work?,65,4,47.12,3.27090379894567e-10,***,,,
categorical (chi-square),Uses AI at work,"Which best describes your participation in unofficial, WordPress-adjacent in-person events",53,2,52.91,3.5074371589944334e-10,***,,,
ordinal (Kruskal-Wallis),Uses AI at work,How do you feel about the future of the WordPress open source project?,31,2,38.78,4.748574783615438e-10,***,Does not use AI,Uses AI,0.69
ordinal (Kruskal-Wallis),Community membership,How do you feel about the future of the WordPress open source project?,31,5,49.37,4.886482950842827e-10,***,Strongly disagree,Strongly agree,1.34
categorical (chi-square),Income depends on WordPress,Are you or have you ever been paid for any of your time spent participating in the WordPre,15,3,49.05,5.712950765517467e-10,***,,,
ordinal (Kruskal-Wallis),Tenure (combined),I consider myself to be a member of the WordPress community.,22,5,49.02,5.77542773016558e-10,***,1-2 years,15+ years,1.56
ordinal (Kruskal-Wallis),Contribution type,"Right now, how do you generally feel about AI in the tech industry?",67,4,45.63,6.809938685545571e-10,***,No contribution work,Community and code work,0.94
ordinal (Kruskal-Wallis),Participation level,How do you feel about the future of the WordPress open source project?,31,6,51.47,6.917502336393461e-10,***,Inactive,Very active participation,1.23
categorical (chi-square),Community membership,Are you currently using AI in your work?,65,5,48.4,7.806922770124736e-10,***,,,
ordinal (Kruskal-Wallis),Participation change,I consider myself to be a contributor to the WordPress open source project.,19,5,46.73,1.7323161178502514e-09,***,No change / About the same,Significantly increased,1.68
categorical (chi-square),Contributor identity,Are you currently using AI in your work?,65,5,46.66,1.793460978604725e-09,***,,,
ordinal (Kruskal-Wallis),Contributor identity,AI in WordPress,34,5,45.86,2.6314541943804453e-09,***,Strongly disagree,Strongly agree,1.31
ordinal (Kruskal-Wallis),Community membership,Open source in AI,62,5,44.64,4.723495488673115e-09,***,Strongly disagree,Strongly agree,1.43
categorical (chi-square),Community membership,"With regard to AI's current impact on your work or income, which of the following are true",71,5,63.43,5.314177949621968e-09,***,,,
ordinal (Kruskal-Wallis),Contribution type,Networking opportunities,57,4,41.22,5.862862613958816e-09,***,No contribution work,Community and code work,0.72
ordinal (Kruskal-Wallis),Income depends on WordPress,Attending in-person WordPress-related events is important to me.,50,3,37.44,7.405280075317759e-09,***,No,Yes,0.91
ordinal (Kruskal-Wallis),Community membership,Networking opportunities,57,5,43.49,8.204033087527358e-09,***,Strongly disagree,Strongly agree,1.13
ordinal (Kruskal-Wallis),Pay status,I consider myself to be a contributor to the WordPress open source project.,19,3,36.13,1.4238059877935534e-08,***,Unpaid,Paid directly,0.85
categorical (chi-square),Income depends on WordPress,Which best describes your participation in official WordPress open source project events (,51,3,56.06,1.9989720646011243e-08,***,,,
ordinal (Kruskal-Wallis),Contributor identity,How do you feel about the future of the WordPress open source project?,31,5,40.83,2.9154524028242063e-08,***,Strongly disagree,Strongly agree,0.86
ordinal (Kruskal-Wallis),Income depends on WordPress,WordPress events and meetups,34,3,34.61,3.054856582034593e-08,***,No,Yes,0.77
ordinal (Kruskal-Wallis),Event relationship,"Right now, how do you feel overall about the WordPress open source project?",28,5,40.59,3.266559181109434e-08,***,Stopped attending,"Attend, multiple times a year",0.88
categorical (chi-square),Income depends on WordPress,Are you currently using AI in your work?,65,3,33.8,4.567289948894817e-08,***,,,
categorical (chi-square),Participation change,Problems with project leadership or governance,46,5,58.21,4.781230132761186e-08,***,,,
ordinal (Kruskal-Wallis),Uses AI at work,Participation in the WordPress community,38,2,29.68,5.084533853968276e-08,***,Does not use AI,Uses AI,0.52
categorical (chi-square),Contribution type,Has your level of community participation in the WordPress open source project changed in ,37,4,57.78,5.7176298768451e-08,***,,,
ordinal (Kruskal-Wallis),Contribution type,AI in WordPress,34,4,35.79,8.287426846533929e-08,***,No contribution work,Community and code work,0.91
ordinal (Kruskal-Wallis),Community membership,"Right now, how do you feel overall about the WordPress open source project?",28,5,38.21,1.0127180829208716e-07,***,Strongly disagree,Strongly agree,1.19
ordinal (Kruskal-Wallis),Participation change,I consider myself to be a member of the WordPress community.,22,5,38.1,1.066494116225811e-07,***,No change / About the same,Significantly increased,1.22
categorical (chi-square),Event relationship,"With regard to AI's current impact on your work or income, which of the following are true",71,5,55.94,1.2250521049665085e-07,***,,,
ordinal (Kruskal-Wallis),Gender,Feeling welcome/included,38,4,34.47,1.5767201006434872e-07,***,Prefer not to answer,Female,1.21
ordinal (Kruskal-Wallis),Participation level,"Right now, how do you feel overall about the WordPress open source project?",28,6,39.6,1.8001401370634944e-07,***,Inactive,Very active participation,1.29
ordinal (Kruskal-Wallis),Income depends on WordPress,"Right now, how do you generally feel about AI in WordPress?",68,3,30.77,2.0811246728080294e-07,***,No,Yes,0.72
ordinal (Kruskal-Wallis),Income depends on WordPress,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,3,30.69,2.16125767921761e-07,***,No,Yes,0.84
ordinal (Kruskal-Wallis),Uses AI at work,The WordPress community,34,2,26.76,2.307389348892428e-07,***,Does not use AI,Uses AI,0.42
categorical (chi-square),Contributor identity,Are you or have you ever been paid for any of your time spent participating in the WordPre,15,5,45.74,2.657864492557632e-07,***,,,
categorical (chi-square),Event relationship,"With regard to AI's future impact on your work or income, which of the following are true ",73,5,53.74,3.046046593223651e-07,***,,,
ordinal (Kruskal-Wallis),Contributor identity,Networking opportunities,57,5,35.2,4.2328519130517517e-07,***,Disagree,Strongly agree,0.87
ordinal (Kruskal-Wallis),Uses AI at work,Community development/engagement,57,2,25.35,4.784721575775693e-07,***,Does not use AI,Uses AI,0.55
ordinal (Kruskal-Wallis),Contributor identity,Open source in AI,62,5,34.83,5.037956800860915e-07,***,Disagree,Strongly agree,1.3
ordinal (Kruskal-Wallis),Income depends on WordPress,The WordPress community,34,3,29.0,5.052611342586655e-07,***,No,Yes,0.53
ordinal (Kruskal-Wallis),Participation level,Networking opportunities,57,6,36.76,6.688146176125067e-07,***,Do not participate / Not applicable,Very active participation,1.05
categorical (chi-square),Experienced hostility personally,Has your level of community participation in the WordPress open source project changed in ,37,2,34.0,7.461488442953267e-07,***,,,
ordinal (Kruskal-Wallis),Participation change,Attending in-person WordPress-related events is important to me.,50,5,33.04,1.1745844428630053e-06,***,No change / About the same,Significantly increased,1.47
categorical (chi-square),Experienced hostility personally,Other (please describe),9,2,29.97,1.4015338792510854e-06,***,,,
ordinal (Kruskal-Wallis),Uses AI at work,Meeting professional development requirements,57,2,23.15,1.4961717366630372e-06,***,Does not use AI,Uses AI,0.59
ordinal (Kruskal-Wallis),Income depends on WordPress,Networking opportunities,57,3,26.77,1.5367228689097333e-06,***,No,Yes,0.62
ordinal (Kruskal-Wallis),Event relationship,Impact of my participation on my professional or personal life,38,5,32.05,1.867177463011699e-06,***,"Never attended, not interested","Attend, multiple times a year",0.67
categorical (chi-square),Participation change,Dismissive or condescending responses to contributions or questions,46,5,49.26,1.8801346169673173e-06,***,,,
categorical (chi-square),Contribution type,"With regard to AI's current impact on your work or income, which of the following are true",71,4,43.27,1.92567738531449e-06,***,,,
ordinal (Kruskal-Wallis),Gender,"Right now, how do you generally feel about AI in the tech industry?",67,4,29.09,2.142663522715243e-06,***,Non-binary,Male,1.22
ordinal (Kruskal-Wallis),Location,Participating in a language other than English,38,2,22.28,2.35503051299753e-06,***,US,Non-US,0.61
ordinal (Kruskal-Wallis),Community membership,WordPress open source software,34,5,30.93,3.160876114996433e-06,***,Strongly disagree,Strongly agree,0.91
ordinal (Kruskal-Wallis),Gender,WordPress events and meetups,34,4,28.11,3.438534148753216e-06,***,Prefer not to answer,Female,1.5
ordinal (Kruskal-Wallis),Income depends on WordPress,"Right now, how do you generally feel about AI in the tech industry?",67,3,25.08,3.58356765095519e-06,***,No,Yes,0.74
ordinal (Kruskal-Wallis),Participation change,Networking opportunities,57,5,30.5,3.880026421807692e-06,***,No change / About the same,Significantly increased,1.19
ordinal (Kruskal-Wallis),Contribution type,Open source in AI,62,4,27.58,4.450045925204094e-06,***,No contribution work,Community and code work,0.81
ordinal (Kruskal-Wallis),Gender,Participation in the WordPress community,38,4,27.26,5.1902207038029755e-06,***,Prefer not to answer,Female,1.08
ordinal (Kruskal-Wallis),Uses AI at work,"Right now, how do you feel overall about the WordPress open source project?",28,2,20.75,5.227815998361601e-06,***,Does not use AI,Uses AI,0.53
ordinal (Kruskal-Wallis),Event relationship,Enterprise/scale issues,34,5,29.55,6.0299744484315865e-06,***,"Never attended, not interested","Attend, annually or occasionally",0.71
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,"Right now, how do you generally feel about AI in WordPress?",68,2,20.46,6.073720122781653e-06,***,Yes,No,0.51
ordinal (Kruskal-Wallis),Gender,Attending in-person WordPress-related events is important to me.,50,4,26.42,7.790589349152725e-06,***,Prefer not to answer,Female,1.47
ordinal (Kruskal-Wallis),Tenure (combined),I consider myself to be a contributor to the WordPress open source project.,19,5,28.94,8.03903616470911e-06,***,1-2 years,15+ years,1.49
categorical (chi-square),Community membership,"With regard to AI's future impact on your work or income, which of the following are true ",73,5,45.28,9.240626678039463e-06,***,,,
ordinal (Kruskal-Wallis),Participation change,AI in WordPress,34,5,28.3,1.0846332343034544e-05,***,Significantly decreased,Significantly increased,2.06
ordinal (Kruskal-Wallis),Contribution type,How do you feel about the future of the WordPress open source project?,31,4,24.88,1.6388851237303447e-05,***,No contribution work,Community and code work,0.56
ordinal (Kruskal-Wallis),Gender,"Right now, how do you generally feel about AI in WordPress?",68,4,24.49,1.9749721526322386e-05,***,Prefer not to answer,Female,0.94
categorical (chi-square),Event relationship,Dismissive or condescending responses to contributions or questions,46,5,43.18,2.1075787493063703e-05,***,,,
categorical (chi-square),Contributor identity,"With regard to AI's current impact on your work or income, which of the following are true",71,5,43.0,2.2615878012076424e-05,***,,,
ordinal (Kruskal-Wallis),Participation change,"Right now, how do you generally feel about AI in WordPress?",68,5,26.51,2.5015360956343943e-05,***,Significantly decreased,Significantly increased,1.24
ordinal (Kruskal-Wallis),Gender,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,4,23.98,2.5188745625729748e-05,***,Prefer not to answer,Male,1.06
ordinal (Kruskal-Wallis),Uses AI at work,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc",34,2,17.56,2.7833133342793224e-05,***,Does not use AI,Uses AI,0.54
categorical (chi-square),Participation level,Are you or have you ever been paid for any of your time spent participating in the WordPre,15,6,38.61,2.975478782801435e-05,***,,,
categorical (chi-square),Pay status,How would you describe your current level of community participation in the WordPress open,36,3,38.61,2.9754787828014455e-05,***,,,
ordinal (Kruskal-Wallis),Pay status,I consider myself to be a member of the WordPress community.,22,3,20.82,3.0150261860384153e-05,***,Unpaid,Paid indirectly,0.46
ordinal (Kruskal-Wallis),Uses AI at work,Financial incentives/restraints,38,2,17.23,3.313447277439598e-05,***,Does not use AI,Uses AI,0.5
ordinal (Kruskal-Wallis),Community membership,Participating in a language other than English,38,5,25.83,3.427301275218392e-05,***,Disagree,Strongly agree,1.15
ordinal (Kruskal-Wallis),Participation change,Participation in the WordPress community,38,5,25.77,3.521509460936243e-05,***,No change / About the same,Significantly increased,1.0
ordinal (Kruskal-Wallis),Income depends on WordPress,Community development/engagement,57,3,20.5,3.534474593051646e-05,***,No,Yes,0.47
ordinal (Kruskal-Wallis),Experienced hostility personally,I consider myself to be a contributor to the WordPress open source project.,19,2,16.96,3.8153416337091354e-05,***,Did not experience,Experienced,0.54
ordinal (Kruskal-Wallis),Work role,Networking opportunities,57,6,27.89,3.825853946823799e-05,***,Other/Non-working,Owner/Exec,1.38
categorical (chi-square),Contribution type,Are you or have you ever been paid for any of your time spent participating in the WordPre,15,4,29.82,4.2478699328490125e-05,***,,,
ordinal (Kruskal-Wallis),Contributor identity,WordPress open source software,34,5,25.26,4.45353728108588e-05,***,Strongly disagree,Strongly agree,0.46
categorical (chi-square),Income depends on WordPress,"With regard to AI's future impact on your work or income, which of the following are true ",73,3,29.59,4.7033412149971766e-05,***,,,
ordinal (Kruskal-Wallis),Experienced hostility personally,Feeling welcome/included,38,2,16.39,5.145951800534245e-05,***,Did not experience,Experienced,0.4
ordinal (Kruskal-Wallis),Participation change,WordPress events and meetups,34,5,24.85,5.388118357622781e-05,***,No change / About the same,Significantly increased,1.14
ordinal (Kruskal-Wallis),Event relationship,Particular speakers / keynotes,57,5,24.74,5.6619752938943386e-05,***,"Never attended, not interested","Never attended, would like to",0.65
ordinal (Kruskal-Wallis),Experienced hostility personally,I consider myself to be a member of the WordPress community.,22,2,16.18,5.761596915286749e-05,***,Did not experience,Experienced,0.42
categorical (chi-square),Community membership,Are you or have you ever been paid for any of your time spent participating in the WordPre,15,5,33.06,6.015783852635482e-05,***,,,
ordinal (Kruskal-Wallis),Participation change,Open source in AI,62,5,24.53,6.26247898961108e-05,***,No change / About the same,Significantly increased,1.57
ordinal (Kruskal-Wallis),Gender,Community development/engagement,57,4,22.07,6.317792835350526e-05,***,Prefer not to answer,Female,0.97
ordinal (Kruskal-Wallis),Participation change,Project governance/policies,38,5,24.5,6.338556172598513e-05,***,Increased,Decreased,0.51
ordinal (Kruskal-Wallis),Participation change,Community development/engagement,57,5,24.41,6.623396625151954e-05,***,No change / About the same,Significantly increased,1.09
ordinal (Kruskal-Wallis),Work role,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,6,26.66,6.6320809797349e-05,***,Other/Non-working,Owner/Exec,1.31
ordinal (Kruskal-Wallis),Contributor identity,Impact of my contributions to the project,38,5,24.33,6.874255026067513e-05,***,Strongly disagree,Strongly agree,0.66
categorical (chi-square),Contributes to open source elsewhere,Have you attended any other open source or tech-related in-person conferences or events in,55,2,15.75,7.243752635838836e-05,***,,,
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,AI in WordPress,34,2,15.73,7.317653156363704e-05,***,Yes,No,0.56
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,How do you feel about the future of the WordPress open source project?,31,2,15.72,7.345357933899174e-05,***,Yes,No,0.37
