section,finding_title,figures,claim,source_file,how_to_check
Section 1: The Respondents,Work situation,3.5%,Work situation: Non-working - looking for work,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Work situation,3.0%,Work situation: Other,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Work situation,2.8%,Work situation: Non-working - not looking for work,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Work situation,0.9%,Work situation: Student,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Company size,23.2%,Company size: 1-20 employees,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Company size,11.4%,Company size: 20-50 employees,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Company size,5.0%,Company size: 50-100 employees,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Company size,60.5%,Company size: 100+ employees,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Company size,44.0%,Company size: No employees (other than you),aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Company size,49.3%,Company size: 1-10 employees,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Company size,3.7%,Company size: 11-20 employees,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Company size,3.0%,Company size: 50+ employees,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,WordPress activities respondents engage in,93.0%,WordPress activities respondents engage in: I use the WordPress open source software,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,WordPress activities respondents engage in,79.1%,WordPress activities respondents engage in: I follow updates and discussions about the WordPress open source project,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,WordPress activities respondents engage in,72.9%,WordPress activities respondents engage in: I use WordPress personally or for my own organization/project,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,WordPress activities respondents engage in,62.4%,WordPress activities respondents engage in: I generate income using the WordPress open source software,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,WordPress activities respondents engage in,52.4%,WordPress activities respondents engage in: I participate in WordPress-related events,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,WordPress activities respondents engage in,39.7%,WordPress activities respondents engage in: I work for a company that operates in the WordPress ecosystem,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,WordPress activities respondents engage in,35.3%,"WordPress activities respondents engage in: I use WordPress for work, but my company is not in the WordPress ecosystem",aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,WordPress activities respondents engage in,31.3%,WordPress activities respondents engage in: I contribute to the community development of the WordPress open source project,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,WordPress activities respondents engage in,27.8%,WordPress activities respondents engage in: I contribute to the software development of the WordPress open source project,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,WordPress activities respondents engage in,5.3%,WordPress activities respondents engage in: I do not currently participate in WordPress-related activities,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents participate in the project,50.6%,Where respondents participate in the project: Official WordPress events,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents participate in the project,47.8%,Where respondents participate in the project: WordPress.org,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents participate in the project,39.2%,Where respondents participate in the project: WordPress communities on social media,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents participate in the project,36.4%,Where respondents participate in the project: Make WordPress,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents participate in the project,30.4%,Where respondents participate in the project: Membership-based communities,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents participate in the project,22.3%,Where respondents participate in the project: Product-related communities,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents participate in the project,21.1%,Where respondents participate in the project: I do not participate in the WordPress open source project,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Where respondents participate in the project,20.0%,Where respondents participate in the project: WordPress-adjacent events,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Type of work respondents do with WordPress,77.5%,Type of work respondents do with WordPress: Building or developing with WordPress,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Type of work respondents do with WordPress,73.3%,Type of work respondents do with WordPress: Using WordPress personally or for your organization,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Type of work respondents do with WordPress,54.3%,Type of work respondents do with WordPress: Providing services to WordPress users or businesses,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Type of work respondents do with WordPress,49.9%,Type of work respondents do with WordPress: Creating products to use with WordPress,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Type of work respondents do with WordPress,42.0%,Type of work respondents do with WordPress: Contributing to the WordPress community,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Type of work respondents do with WordPress,29.5%,Type of work respondents do with WordPress: Contributing to the WordPress open source project,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Type of work respondents do with WordPress,9.0%,Type of work respondents do with WordPress: Working adjacent to WordPress (not directly building or using it),aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Type of work respondents do with WordPress,2.3%,Type of work respondents do with WordPress: Not currently using WordPress,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,“I consider myself to be a member of the WordPress community”,32.9%,“I consider myself to be a member of the WordPress community”: Strongly agree,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,“I consider myself to be a member of the WordPress community”,38.5%,“I consider myself to be a member of the WordPress community”: Agree,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,“I consider myself to be a member of the WordPress community”,16.2%,“I consider myself to be a member of the WordPress community”: Neutral,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,“I consider myself to be a member of the WordPress community”,8.4%,“I consider myself to be a member of the WordPress community”: Disagree,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,“I consider myself to be a member of the WordPress community”,3.9%,“I consider myself to be a member of the WordPress community”: Strongly disagree,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,“I consider myself to be a contributor to the WordPress open source project”,17.6%,“I consider myself to be a contributor to the WordPress open source project”: Strongly agree,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,“I consider myself to be a contributor to the WordPress open source project”,24.4%,“I consider myself to be a contributor to the WordPress open source project”: Agree,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,“I consider myself to be a contributor to the WordPress open source project”,20.9%,“I consider myself to be a contributor to the WordPress open source project”: Neutral,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,“I consider myself to be a contributor to the WordPress open source project”,18.8%,“I consider myself to be a contributor to the WordPress open source project”: Disagree,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,“I consider myself to be a contributor to the WordPress open source project”,18.3%,“I consider myself to be a contributor to the WordPress open source project”: Strongly disagree,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Respondents who do not currently identify as community members,45.5%,Respondents who do not currently identify as community members: Once considered themselves a member,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Respondents who do not currently identify as community members,54.5%,Respondents who do not currently identify as community members: Never considered themselves a member,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Time in the WordPress community,1.9%,Time in the WordPress community: Less than 1 year,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Time in the WordPress community,4.1%,Time in the WordPress community: 1-2 years,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Time in the WordPress community,8.0%,Time in the WordPress community: 3-6 years,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Time in the WordPress community,15.4%,Time in the WordPress community: 6-10 years,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Time in the WordPress community,33.5%,Time in the WordPress community: 10-15 years,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Time in the WordPress community,37.1%,Time in the WordPress community: 15+ years,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Self-described level of participation,10.2%,Self-described level of participation: Very active participation,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Self-described level of participation,17.6%,Self-described level of participation: Moderately active participation,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Self-described level of participation,33.4%,Self-described level of participation: Occasional participation,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Self-described level of participation,22.5%,Self-described level of participation: Observational only,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Self-described level of participation,8.1%,Self-described level of participation: Inactive,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Self-described level of participation,8.1%,Self-described level of participation: Do not participate / Not applicable,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Change in participation over the past 24 months,3.9%,Change in participation over the past 24 months: Significantly increased,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Change in participation over the past 24 months,11.1%,Change in participation over the past 24 months: Increased,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Change in participation over the past 24 months,46.2%,Change in participation over the past 24 months: No change / About the same,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Change in participation over the past 24 months,21.8%,Change in participation over the past 24 months: Decreased,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Change in participation over the past 24 months,16.9%,Change in participation over the past 24 months: Significantly decreased,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Payment for WordPress participation,26.9%,Payment for WordPress participation: Yes directly - Some or all of my work duties include participating in WordPress,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Payment for WordPress participation,15.5%,Payment for WordPress participation: Yes indirectly - I participate in WordPress for work but am not required to do so,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Payment for WordPress participation,57.5%,Payment for WordPress participation: No - I am not paid for any of my participation in WordPress,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Whether the project affects respondents’ income,47.6%,Whether the project affects respondents’ income: Yes,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Whether the project affects respondents’ income,19.0%,Whether the project affects respondents’ income: Partially,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Whether the project affects respondents’ income,32.0%,Whether the project affects respondents’ income: No,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 1: The Respondents,Whether the project affects respondents’ income,1.4%,Whether the project affects respondents’ income: Other,aggregates/per-question-tallies.csv,question_number for the demographic item; read pct_of_answered
Section 2: The Numbers,Sentiment toward the WordPress project right now,4.6%,Sentiment toward the WordPress project right now: Very positive,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward the WordPress project right now,28.1%,Sentiment toward the WordPress project right now: Positive,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward the WordPress project right now,29.2%,Sentiment toward the WordPress project right now: Neutral / Unsure,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward the WordPress project right now,25.8%,Sentiment toward the WordPress project right now: Negative,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward the WordPress project right now,12.3%,Sentiment toward the WordPress project right now: Very negative,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward the future of the WordPress project,5.1%,Sentiment toward the future of the WordPress project: Very positive,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward the future of the WordPress project,19.3%,Sentiment toward the future of the WordPress project: Positive,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward the future of the WordPress project,36.7%,Sentiment toward the future of the WordPress project: Neutral / Unsure,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward the future of the WordPress project,28.1%,Sentiment toward the future of the WordPress project: Negative,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward the future of the WordPress project,10.9%,Sentiment toward the future of the WordPress project: Very negative,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward open source software in general,39.4%,Sentiment toward open source software in general: Very positive,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward open source software in general,42.2%,Sentiment toward open source software in general: Positive,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward open source software in general,14.4%,Sentiment toward open source software in general: Neutral / Unsure,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward open source software in general,3.0%,Sentiment toward open source software in general: Negative,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Sentiment toward open source software in general,0.9%,Sentiment toward open source software in general: Very negative,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Change in feeling toward WordPress over the past 24 months,77.3%,Change in feeling toward WordPress over the past 24 months: Feelings changed,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Change in feeling toward WordPress over the past 24 months,95.5%,"Change in feeling toward WordPress over the past 24 months: &mdash; of those, changed for the worse",aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Change in feeling toward WordPress over the past 24 months,4.5%,"Change in feeling toward WordPress over the past 24 months: &mdash; of those, changed for the better",aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,95.1%,Importance of aspects of the WordPress project: Security in WordPress,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,94.0%,Importance of aspects of the WordPress project: WordPress open source software,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,93.7%,Importance of aspects of the WordPress project: Web standards and compliance,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,90.7%,Importance of aspects of the WordPress project: Open source values,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,80.3%,Importance of aspects of the WordPress project: The WordPress community,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,76.6%,Importance of aspects of the WordPress project: WordPress governance,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,73.8%,Importance of aspects of the WordPress project: WordPress leadership,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,67.7%,Importance of aspects of the WordPress project: Collaboration with the greater open source ecosystem,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,50.1%,Importance of aspects of the WordPress project: WordPress events and meetups,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,45.7%,Importance of aspects of the WordPress project: Contributing to WordPress,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,41.5%,"Importance of aspects of the WordPress project: Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)",aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,40.1%,Importance of aspects of the WordPress project: Enterprise/scale issues,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Importance of aspects of the WordPress project,29.0%,Importance of aspects of the WordPress project: AI in WordPress,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,82.8%,What matters when deciding whether to participate: Personal capacity,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,76.3%,What matters when deciding whether to participate: Feeling welcome/included,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,75.6%,"What matters when deciding whether to participate: Advocacy on behalf of web standards (accessibility, privacy, etc.)",aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,67.3%,What matters when deciding whether to participate: Project leadership,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,66.4%,What matters when deciding whether to participate: Project governance/policies,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,59.6%,What matters when deciding whether to participate: Understanding how to participate,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,58.5%,What matters when deciding whether to participate: Impact of my participation on my professional or personal life,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,55.5%,What matters when deciding whether to participate: Working asynchronously,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,53.4%,What matters when deciding whether to participate: Participation in the WordPress community,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,51.7%,What matters when deciding whether to participate: Project roadmap,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,47.8%,What matters when deciding whether to participate: Impact of my contributions to the project,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,33.6%,What matters when deciding whether to participate: Financial incentives/restraints,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,33.4%,What matters when deciding whether to participate: Mentorship or guidance,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to participate,19.7%,What matters when deciding whether to participate: Participating in a language other than English,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,72.4%,"What matters when deciding whether to attend an event: Cost of attendance (travel, housing, etc.)",aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,67.3%,What matters when deciding whether to attend an event: Topics of sessions / panels,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,65.9%,What matters when deciding whether to attend an event: A location local to you,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,61.5%,What matters when deciding whether to attend an event: Community development/engagement,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,60.6%,What matters when deciding whether to attend an event: Networking opportunities,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,54.5%,What matters when deciding whether to attend an event: Cost of ticket,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,54.3%,What matters when deciding whether to attend an event: A regional/destination location,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,52.9%,"What matters when deciding whether to attend an event: Hard skill development (technical instruction, workshops, etc.)",aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,38.7%,What matters when deciding whether to attend an event: Particular speakers / keynotes,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,38.5%,"What matters when deciding whether to attend an event: Soft skill development (business development, personal development, etc.)",aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,28.8%,What matters when deciding whether to attend an event: Meeting professional development requirements,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,25.1%,What matters when deciding whether to attend an event: Events with smaller attendance,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,What matters when deciding whether to attend an event,16.9%,What matters when deciding whether to attend an event: Events with larger attendance,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Problems in the community,73.3%,Problems in the community: Problems with project leadership or governance,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Problems in the community,68.2%,Problems in the community: Conflict or ongoing interpersonal tension between community members,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Problems in the community,67.3%,Problems in the community: Dismissive or condescending responses to contributions or questions,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Problems in the community,62.4%,Problems in the community: Hostility or rudeness,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Problems in the community,51.5%,Problems in the community: Harassment or targeted negative behavior,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
Section 2: The Numbers,Problems in the community,50.6%,Problems in the community: Name-calling or personal attacks,aggregates/per-question-tallies.csv,question_number for the item; importance+ = sum of Important and Very Important
