segment_variable,group,n,question_number,measure,pct_negative,pct_neutral,pct_positive,net,mean,kruskal_H,p,significant_p05
Gender,Male,300,67,AI in tech industry,43.7,19.7,36.7,-7.0,2.76,29.09,0.0,yes
Gender,Female,80,67,AI in tech industry,33.8,42.5,23.8,-10.0,2.66,29.09,0.0,yes
Gender,Prefer not to answer,35,67,AI in tech industry,77.1,11.4,11.4,-65.7,1.66,29.09,0.0,yes
Gender,Non-binary,15,67,AI in tech industry,86.7,6.7,6.7,-80.0,1.53,29.09,0.0,yes
Age,All respondents,431,28,WordPress now,38.1,29.2,32.7,-5.3,2.87,6.11,0.19102,no
Age,35-44,161,28,WordPress now,34.2,35.4,30.4,-3.7,2.88,6.11,0.19102,no
Age,45-54,135,28,WordPress now,45.9,22.2,31.9,-14.1,2.77,6.11,0.19102,no
Age,55-64,65,28,WordPress now,27.7,40.0,32.3,4.6,2.98,6.11,0.19102,no
Age,25-34,39,28,WordPress now,48.7,12.8,38.5,-10.3,2.85,6.11,0.19102,no
Age,65-74,20,28,WordPress now,20.0,25.0,55.0,35.0,3.35,6.11,0.19102,no
Age,All respondents,431,31,WordPress future,39.0,36.7,24.4,-14.6,2.8,5.95,0.20313,no
Age,35-44,161,31,WordPress future,39.1,36.6,24.2,-14.9,2.76,5.95,0.20313,no
Age,45-54,135,31,WordPress future,43.7,36.3,20.0,-23.7,2.73,5.95,0.20313,no
Age,55-64,65,31,WordPress future,30.8,41.5,27.7,-3.1,2.94,5.95,0.20313,no
Age,25-34,39,31,WordPress future,33.3,33.3,33.3,0.0,3.03,5.95,0.20313,no
Age,65-74,20,31,WordPress future,20.0,45.0,35.0,15.0,3.05,5.95,0.20313,no
Age,All respondents,431,59,Open source software,3.9,14.4,81.7,77.7,4.16,3.65,0.4549,no
Age,35-44,161,59,Open source software,3.1,17.4,79.5,76.4,4.13,3.65,0.4549,no
Age,45-54,135,59,Open source software,5.2,15.6,79.3,74.1,4.12,3.65,0.4549,no
Age,55-64,65,59,Open source software,3.1,13.8,83.1,80.0,4.2,3.65,0.4549,no
Age,25-34,39,59,Open source software,7.7,7.7,84.6,76.9,4.13,3.65,0.4549,no
Age,65-74,20,59,Open source software,0.0,5.0,95.0,95.0,4.5,3.65,0.4549,no
Age,All respondents,431,68,AI in WordPress,49.9,33.2,16.9,-32.9,2.35,1.66,0.79728,no
Age,35-44,161,68,AI in WordPress,47.8,32.3,19.9,-28.0,2.46,1.66,0.79728,no
Age,45-54,135,68,AI in WordPress,53.3,30.4,16.3,-37.0,2.27,1.66,0.79728,no
Age,55-64,65,68,AI in WordPress,46.2,38.5,15.4,-30.8,2.37,1.66,0.79728,no
Age,25-34,39,68,AI in WordPress,43.6,41.0,15.4,-28.2,2.36,1.66,0.79728,no
Age,65-74,20,68,AI in WordPress,50.0,40.0,10.0,-40.0,2.25,1.66,0.79728,no
Age,All respondents,431,69,AI in web development,44.8,20.6,34.6,-10.2,2.7,1.72,0.78668,no
Age,35-44,161,69,AI in web development,42.9,20.5,36.6,-6.2,2.76,1.72,0.78668,no
Age,45-54,135,69,AI in web development,46.7,17.0,36.3,-10.4,2.72,1.72,0.78668,no
Age,55-64,65,69,AI in web development,43.1,27.7,29.2,-13.8,2.62,1.72,0.78668,no
Age,25-34,39,69,AI in web development,41.0,17.9,41.0,0.0,2.9,1.72,0.78668,no
Age,65-74,20,69,AI in web development,45.0,35.0,20.0,-25.0,2.45,1.72,0.78668,no
Age,All respondents,431,67,AI in tech industry,46.2,22.7,31.1,-15.1,2.6,0.91,0.92371,no
Age,35-44,161,67,AI in tech industry,44.7,26.1,29.2,-15.5,2.62,0.91,0.92371,no
Age,45-54,135,67,AI in tech industry,48.9,18.5,32.6,-16.3,2.59,0.91,0.92371,no
Age,55-64,65,67,AI in tech industry,40.0,26.2,33.8,-6.2,2.66,0.91,0.92371,no
Age,25-34,39,67,AI in tech industry,46.2,12.8,41.0,-5.1,2.79,0.91,0.92371,no
Age,65-74,20,67,AI in tech industry,40.0,45.0,15.0,-25.0,2.5,0.91,0.92371,no
Location,All respondents,431,28,WordPress now,38.1,29.2,32.7,-5.3,2.87,5.87,0.01537,yes
Location,Non-US,246,28,WordPress now,32.9,30.5,36.6,3.7,2.99,5.87,0.01537,yes
Location,US,174,28,WordPress now,44.8,26.4,28.7,-16.1,2.72,5.87,0.01537,yes
Location,All respondents,431,31,WordPress future,39.0,36.7,24.4,-14.6,2.8,2.09,0.1483,no
Location,Non-US,246,31,WordPress future,36.2,37.4,26.4,-9.8,2.87,2.09,0.1483,no
Location,US,174,31,WordPress future,42.0,35.1,23.0,-19.0,2.72,2.09,0.1483,no
Location,All respondents,431,59,Open source software,3.9,14.4,81.7,77.7,4.16,8.88,0.00288,yes
Location,Non-US,246,59,Open source software,2.8,12.6,84.6,81.7,4.27,8.88,0.00288,yes
Location,US,174,59,Open source software,5.7,16.1,78.2,72.4,4.03,8.88,0.00288,yes
Location,All respondents,431,68,AI in WordPress,49.9,33.2,16.9,-32.9,2.35,0.08,0.77638,no
Location,Non-US,246,68,AI in WordPress,49.2,34.6,16.3,-32.9,2.35,0.08,0.77638,no
Location,US,174,68,AI in WordPress,49.4,31.6,19.0,-30.5,2.39,0.08,0.77638,no
Location,All respondents,431,69,AI in web development,44.8,20.6,34.6,-10.2,2.7,0.13,0.72054,no
Location,Non-US,246,69,AI in web development,44.7,21.1,34.1,-10.6,2.7,0.13,0.72054,no
Location,US,174,69,AI in web development,43.7,19.5,36.8,-6.9,2.75,0.13,0.72054,no
Location,All respondents,431,67,AI in tech industry,46.2,22.7,31.1,-15.1,2.6,0.38,0.53815,no
Location,Non-US,246,67,AI in tech industry,44.7,22.8,32.5,-12.2,2.66,0.38,0.53815,no
Location,US,174,67,AI in tech industry,46.6,22.4,31.0,-15.5,2.59,0.38,0.53815,no
Work role,All respondents,431,28,WordPress now,38.1,29.2,32.7,-5.3,2.87,2.26,0.81275,no
Work role,Employee only,150,28,WordPress now,38.0,30.0,32.0,-6.0,2.85,2.26,0.81275,no
Work role,Owner/Exec,120,28,WordPress now,40.0,23.3,36.7,-3.3,2.88,2.26,0.81275,no
Work role,Freelancer only,79,28,WordPress now,38.0,35.4,26.6,-11.4,2.84,2.26,0.81275,no
Work role,Employee+Freelance,40,28,WordPress now,32.5,32.5,35.0,2.5,3.0,2.26,0.81275,no
Work role,Other/Non-working,22,28,WordPress now,45.5,31.8,22.7,-22.7,2.68,2.26,0.81275,no
Work role,Employee+Owner,20,28,WordPress now,30.0,25.0,45.0,15.0,3.05,2.26,0.81275,no
Work role,All respondents,431,31,WordPress future,39.0,36.7,24.4,-14.6,2.8,4.84,0.43571,no
Work role,Employee only,150,31,WordPress future,40.7,31.3,28.0,-12.7,2.79,4.84,0.43571,no
Work role,Owner/Exec,120,31,WordPress future,39.2,36.7,24.2,-15.0,2.82,4.84,0.43571,no
Work role,Freelancer only,79,31,WordPress future,36.7,44.3,19.0,-17.7,2.75,4.84,0.43571,no
Work role,Employee+Freelance,40,31,WordPress future,30.0,42.5,27.5,-2.5,2.98,4.84,0.43571,no
Work role,Other/Non-working,22,31,WordPress future,54.5,31.8,13.6,-40.9,2.41,4.84,0.43571,no
Work role,Employee+Owner,20,31,WordPress future,35.0,40.0,25.0,-10.0,2.95,4.84,0.43571,no
Work role,All respondents,431,59,Open source software,3.9,14.4,81.7,77.7,4.16,1.8,0.87553,no
Work role,Employee only,150,59,Open source software,6.7,14.0,79.3,72.7,4.09,1.8,0.87553,no
Work role,Owner/Exec,120,59,Open source software,2.5,14.2,83.3,80.8,4.22,1.8,0.87553,no
Work role,Freelancer only,79,59,Open source software,2.5,20.3,77.2,74.7,4.11,1.8,0.87553,no
Work role,Employee+Freelance,40,59,Open source software,2.5,5.0,92.5,90.0,4.25,1.8,0.87553,no
Work role,Other/Non-working,22,59,Open source software,4.5,4.5,90.9,86.4,4.27,1.8,0.87553,no
Work role,Employee+Owner,20,59,Open source software,0.0,25.0,75.0,75.0,4.2,1.8,0.87553,no
Work role,All respondents,431,68,AI in WordPress,49.9,33.2,16.9,-32.9,2.35,12.02,0.03452,yes
Work role,Employee only,150,68,AI in WordPress,54.7,26.7,18.7,-36.0,2.27,12.02,0.03452,yes
Work role,Owner/Exec,120,68,AI in WordPress,45.0,35.0,20.0,-25.0,2.56,12.02,0.03452,yes
Work role,Freelancer only,79,68,AI in WordPress,43.0,46.8,10.1,-32.9,2.34,12.02,0.03452,yes
Work role,Employee+Freelance,40,68,AI in WordPress,45.0,40.0,15.0,-30.0,2.4,12.02,0.03452,yes
Work role,Other/Non-working,22,68,AI in WordPress,77.3,13.6,9.1,-68.2,1.68,12.02,0.03452,yes
Work role,Employee+Owner,20,68,AI in WordPress,50.0,25.0,25.0,-25.0,2.3,12.02,0.03452,yes
Work role,All respondents,431,69,AI in web development,44.8,20.6,34.6,-10.2,2.7,26.66,7e-05,yes
Work role,Employee only,150,69,AI in web development,52.7,15.3,32.0,-20.7,2.47,26.66,7e-05,yes
Work role,Owner/Exec,120,69,AI in web development,32.5,19.2,48.3,15.8,3.22,26.66,7e-05,yes
Work role,Freelancer only,79,69,AI in web development,44.3,29.1,26.6,-17.7,2.54,26.66,7e-05,yes
Work role,Employee+Freelance,40,69,AI in web development,42.5,27.5,30.0,-12.5,2.68,26.66,7e-05,yes
Work role,Other/Non-working,22,69,AI in web development,68.2,18.2,13.6,-54.5,1.91,26.66,7e-05,yes
Work role,Employee+Owner,20,69,AI in web development,40.0,25.0,35.0,-5.0,2.8,26.66,7e-05,yes
Work role,All respondents,431,67,AI in tech industry,46.2,22.7,31.1,-15.1,2.6,24.09,0.00021,yes
Work role,Employee only,150,67,AI in tech industry,56.0,17.3,26.7,-29.3,2.37,24.09,0.00021,yes
Work role,Owner/Exec,120,67,AI in tech industry,31.7,24.2,44.2,12.5,3.09,24.09,0.00021,yes
Work role,Freelancer only,79,67,AI in tech industry,38.0,39.2,22.8,-15.2,2.56,24.09,0.00021,yes
Work role,Employee+Freelance,40,67,AI in tech industry,50.0,17.5,32.5,-17.5,2.58,24.09,0.00021,yes
Work role,Other/Non-working,22,67,AI in tech industry,77.3,4.5,18.2,-59.1,1.91,24.09,0.00021,yes
Work role,Employee+Owner,20,67,AI in tech industry,50.0,20.0,30.0,-20.0,2.45,24.09,0.00021,yes
Pay status,All respondents,431,28,WordPress now,38.1,29.2,32.7,-5.3,2.87,1.8,0.40709,no
Pay status,Unpaid,248,28,WordPress now,38.7,30.6,30.6,-8.1,2.8,1.8,0.40709,no
Pay status,Paid directly,116,28,WordPress now,37.9,24.1,37.9,0.0,2.97,1.8,0.40709,no
Pay status,Paid indirectly,67,28,WordPress now,35.8,32.8,31.3,-4.5,2.94,1.8,0.40709,no
Pay status,All respondents,431,31,WordPress future,39.0,36.7,24.4,-14.6,2.8,5.38,0.06783,no
Pay status,Unpaid,248,31,WordPress future,42.7,35.1,22.2,-20.6,2.71,5.38,0.06783,no
Pay status,Paid directly,116,31,WordPress future,31.9,38.8,29.3,-2.6,2.98,5.38,0.06783,no
Pay status,Paid indirectly,67,31,WordPress future,37.3,38.8,23.9,-13.4,2.81,5.38,0.06783,no
Pay status,All respondents,431,59,Open source software,3.9,14.4,81.7,77.7,4.16,0.09,0.95482,no
Pay status,Unpaid,248,59,Open source software,5.2,12.1,82.7,77.4,4.15,0.09,0.95482,no
Pay status,Paid directly,116,59,Open source software,2.6,13.8,83.6,81.0,4.17,0.09,0.95482,no
Pay status,Paid indirectly,67,59,Open source software,1.5,23.9,74.6,73.1,4.18,0.09,0.95482,no
Pay status,All respondents,431,68,AI in WordPress,49.9,33.2,16.9,-32.9,2.35,8.32,0.01562,yes
Pay status,Unpaid,248,68,AI in WordPress,53.6,33.9,12.5,-41.1,2.2,8.32,0.01562,yes
Pay status,Paid directly,116,68,AI in WordPress,44.8,29.3,25.9,-19.0,2.57,8.32,0.01562,yes
Pay status,Paid indirectly,67,68,AI in WordPress,44.8,37.3,17.9,-26.9,2.49,8.32,0.01562,yes
Pay status,All respondents,431,69,AI in web development,44.8,20.6,34.6,-10.2,2.7,13.8,0.00101,yes
Pay status,Unpaid,248,69,AI in web development,48.0,23.8,28.2,-19.8,2.5,13.8,0.00101,yes
Pay status,Paid directly,116,69,AI in web development,37.1,17.2,45.7,8.6,3.09,13.8,0.00101,yes
Pay status,Paid indirectly,67,69,AI in web development,46.3,14.9,38.8,-7.5,2.76,13.8,0.00101,yes
Pay status,All respondents,431,67,AI in tech industry,46.2,22.7,31.1,-15.1,2.6,7.15,0.02803,yes
Pay status,Unpaid,248,67,AI in tech industry,48.8,24.6,26.6,-22.2,2.47,7.15,0.02803,yes
Pay status,Paid directly,116,67,AI in tech industry,40.5,19.8,39.7,-0.9,2.89,7.15,0.02803,yes
Pay status,Paid indirectly,67,67,AI in tech industry,46.3,20.9,32.8,-13.4,2.6,7.15,0.02803,yes
Tenure (combined),All respondents,431,28,WordPress now,38.1,29.2,32.7,-5.3,2.87,0.45,0.97782,no
Tenure (combined),15+ years,135,28,WordPress now,34.1,31.1,34.8,0.7,2.93,0.45,0.97782,no
Tenure (combined),10-15 years,122,28,WordPress now,37.7,30.3,32.0,-5.7,2.89,0.45,0.97782,no
Tenure (combined),6-10 years,56,28,WordPress now,39.3,21.4,39.3,0.0,2.89,0.45,0.97782,no
Tenure (combined),3-6 years,29,28,WordPress now,34.5,31.0,34.5,0.0,3.03,0.45,0.97782,no
Tenure (combined),1-2 years,15,28,WordPress now,33.3,26.7,40.0,6.7,2.73,0.45,0.97782,no
Tenure (combined),All respondents,431,31,WordPress future,39.0,36.7,24.4,-14.6,2.8,5.13,0.27427,no
Tenure (combined),15+ years,135,31,WordPress future,35.6,34.8,29.6,-5.9,2.89,5.13,0.27427,no
Tenure (combined),10-15 years,122,31,WordPress future,36.9,38.5,24.6,-12.3,2.81,5.13,0.27427,no
Tenure (combined),6-10 years,56,31,WordPress future,30.4,37.5,32.1,1.8,3.02,5.13,0.27427,no
Tenure (combined),3-6 years,29,31,WordPress future,44.8,37.9,17.2,-27.6,2.72,5.13,0.27427,no
Tenure (combined),1-2 years,15,31,WordPress future,40.0,53.3,6.7,-33.3,2.33,5.13,0.27427,no
Tenure (combined),All respondents,431,59,Open source software,3.9,14.4,81.7,77.7,4.16,2.64,0.61919,no
Tenure (combined),15+ years,135,59,Open source software,3.7,12.6,83.7,80.0,4.23,2.64,0.61919,no
Tenure (combined),10-15 years,122,59,Open source software,3.3,13.9,82.8,79.5,4.14,2.64,0.61919,no
Tenure (combined),6-10 years,56,59,Open source software,1.8,16.1,82.1,80.4,4.18,2.64,0.61919,no
Tenure (combined),3-6 years,29,59,Open source software,3.4,13.8,82.8,79.3,4.17,2.64,0.61919,no
Tenure (combined),1-2 years,15,59,Open source software,0.0,20.0,80.0,80.0,4.4,2.64,0.61919,no
Tenure (combined),All respondents,431,68,AI in WordPress,49.9,33.2,16.9,-32.9,2.35,13.79,0.00801,yes
Tenure (combined),15+ years,135,68,AI in WordPress,39.3,35.6,25.2,-14.1,2.69,13.79,0.00801,yes
Tenure (combined),10-15 years,122,68,AI in WordPress,43.4,40.2,16.4,-27.0,2.5,13.79,0.00801,yes
Tenure (combined),6-10 years,56,68,AI in WordPress,39.3,37.5,23.2,-16.1,2.59,13.79,0.00801,yes
Tenure (combined),3-6 years,29,68,AI in WordPress,55.2,27.6,17.2,-37.9,2.21,13.79,0.00801,yes
Tenure (combined),1-2 years,15,68,AI in WordPress,80.0,20.0,0.0,-80.0,1.6,13.79,0.00801,yes
Tenure (combined),All respondents,431,69,AI in web development,44.8,20.6,34.6,-10.2,2.7,7.36,0.11813,no
Tenure (combined),15+ years,135,69,AI in web development,36.3,23.7,40.0,3.7,3.01,7.36,0.11813,no
Tenure (combined),10-15 years,122,69,AI in web development,42.6,23.0,34.4,-8.2,2.75,7.36,0.11813,no
Tenure (combined),6-10 years,56,69,AI in web development,26.8,23.2,50.0,23.2,3.21,7.36,0.11813,no
Tenure (combined),3-6 years,29,69,AI in web development,41.4,17.2,41.4,0.0,2.76,7.36,0.11813,no
Tenure (combined),1-2 years,15,69,AI in web development,53.3,20.0,26.7,-26.7,2.4,7.36,0.11813,no
Tenure (combined),All respondents,431,67,AI in tech industry,46.2,22.7,31.1,-15.1,2.6,13.49,0.00912,yes
Tenure (combined),15+ years,135,67,AI in tech industry,36.3,20.0,43.7,7.4,2.97,13.49,0.00912,yes
Tenure (combined),10-15 years,122,67,AI in tech industry,42.6,31.1,26.2,-16.4,2.59,13.49,0.00912,yes
Tenure (combined),6-10 years,56,67,AI in tech industry,33.9,25.0,41.1,7.1,3.09,13.49,0.00912,yes
Tenure (combined),3-6 years,29,67,AI in tech industry,51.7,20.7,27.6,-24.1,2.48,13.49,0.00912,yes
Tenure (combined),1-2 years,15,67,AI in tech industry,60.0,20.0,20.0,-40.0,2.07,13.49,0.00912,yes
Participation level,All respondents,431,28,WordPress now,38.1,29.2,32.7,-5.3,2.87,39.6,0.0,yes
Participation level,Occasional participation,144,28,WordPress now,37.5,29.2,33.3,-4.2,2.9,39.6,0.0,yes
Participation level,Observational only,97,28,WordPress now,47.4,25.8,26.8,-20.6,2.72,39.6,0.0,yes
Participation level,Moderately active participation,76,28,WordPress now,26.3,40.8,32.9,6.6,3.03,39.6,0.0,yes
Participation level,Very active participation,44,28,WordPress now,11.4,22.7,65.9,54.5,3.64,39.6,0.0,yes
Participation level,Inactive,35,28,WordPress now,60.0,20.0,20.0,-40.0,2.34,39.6,0.0,yes
Participation level,Do not participate / Not applicable,35,28,WordPress now,51.4,31.4,17.1,-34.3,2.4,39.6,0.0,yes
Participation level,All respondents,431,31,WordPress future,39.0,36.7,24.4,-14.6,2.8,51.47,0.0,yes
Participation level,Occasional participation,144,31,WordPress future,37.5,38.9,23.6,-13.9,2.83,51.47,0.0,yes
Participation level,Observational only,97,31,WordPress future,54.6,29.9,15.5,-39.2,2.51,51.47,0.0,yes
Participation level,Moderately active participation,76,31,WordPress future,25.0,42.1,32.9,7.9,3.08,51.47,0.0,yes
Participation level,Very active participation,44,31,WordPress future,11.4,31.8,56.8,45.5,3.57,51.47,0.0,yes
Participation level,Inactive,35,31,WordPress future,51.4,40.0,8.6,-42.9,2.34,51.47,0.0,yes
Participation level,Do not participate / Not applicable,35,31,WordPress future,54.3,37.1,8.6,-45.7,2.34,51.47,0.0,yes
Participation level,All respondents,431,59,Open source software,3.9,14.4,81.7,77.7,4.16,9.99,0.0754,no
Participation level,Occasional participation,144,59,Open source software,6.9,13.2,79.9,72.9,4.1,9.99,0.0754,no
Participation level,Observational only,97,59,Open source software,1.0,14.4,84.5,83.5,4.22,9.99,0.0754,no
Participation level,Moderately active participation,76,59,Open source software,1.3,17.1,81.6,80.3,4.18,9.99,0.0754,no
Participation level,Very active participation,44,59,Open source software,0.0,9.1,90.9,90.9,4.5,9.99,0.0754,no
Participation level,Inactive,35,59,Open source software,2.9,20.0,77.1,74.3,4.09,9.99,0.0754,no
Participation level,Do not participate / Not applicable,35,59,Open source software,11.4,14.3,74.3,62.9,3.89,9.99,0.0754,no
Participation level,All respondents,431,68,AI in WordPress,49.9,33.2,16.9,-32.9,2.35,92.48,0.0,yes
Participation level,Occasional participation,144,68,AI in WordPress,48.6,32.6,18.8,-29.9,2.42,92.48,0.0,yes
Participation level,Observational only,97,68,AI in WordPress,64.9,32.0,3.1,-61.9,1.84,92.48,0.0,yes
Participation level,Moderately active participation,76,68,AI in WordPress,27.6,42.1,30.3,2.6,2.99,92.48,0.0,yes
Participation level,Very active participation,44,68,AI in WordPress,18.2,40.9,40.9,22.7,3.27,92.48,0.0,yes
Participation level,Inactive,35,68,AI in WordPress,74.3,20.0,5.7,-68.6,1.77,92.48,0.0,yes
Participation level,Do not participate / Not applicable,35,68,AI in WordPress,77.1,22.9,0.0,-77.1,1.49,92.48,0.0,yes
Participation level,All respondents,431,69,AI in web development,44.8,20.6,34.6,-10.2,2.7,71.73,0.0,yes
Participation level,Occasional participation,144,69,AI in web development,47.2,16.0,36.8,-10.4,2.76,71.73,0.0,yes
Participation level,Observational only,97,69,AI in web development,54.6,25.8,19.6,-35.1,2.2,71.73,0.0,yes
Participation level,Moderately active participation,76,69,AI in web development,21.1,26.3,52.6,31.6,3.43,71.73,0.0,yes
Participation level,Very active participation,44,69,AI in web development,15.9,27.3,56.8,40.9,3.57,71.73,0.0,yes
Participation level,Inactive,35,69,AI in web development,62.9,17.1,20.0,-42.9,2.06,71.73,0.0,yes
Participation level,Do not participate / Not applicable,35,69,AI in web development,77.1,8.6,14.3,-62.9,1.77,71.73,0.0,yes
Participation level,All respondents,431,67,AI in tech industry,46.2,22.7,31.1,-15.1,2.6,76.61,0.0,yes
Participation level,Occasional participation,144,67,AI in tech industry,47.9,23.6,28.5,-19.4,2.6,76.61,0.0,yes
Participation level,Observational only,97,67,AI in tech industry,58.8,21.6,19.6,-39.2,2.13,76.61,0.0,yes
Participation level,Moderately active participation,76,67,AI in tech industry,19.7,23.7,56.6,36.8,3.47,76.61,0.0,yes
Participation level,Very active participation,44,67,AI in tech industry,18.2,34.1,47.7,29.5,3.34,76.61,0.0,yes
Participation level,Inactive,35,67,AI in tech industry,62.9,22.9,14.3,-48.6,1.97,76.61,0.0,yes
Participation level,Do not participate / Not applicable,35,67,AI in tech industry,80.0,5.7,14.3,-65.7,1.71,76.61,0.0,yes
Participation change,All respondents,431,28,WordPress now,38.1,29.2,32.7,-5.3,2.87,84.22,0.0,yes
Participation change,No change / About the same,199,28,WordPress now,28.1,25.6,46.2,18.1,3.16,84.22,0.0,yes
Participation change,Decreased,94,28,WordPress now,53.2,36.2,10.6,-42.6,2.48,84.22,0.0,yes
Participation change,Significantly decreased,73,28,WordPress now,69.9,21.9,8.2,-61.6,2.1,84.22,0.0,yes
Participation change,Increased,48,28,WordPress now,14.6,39.6,45.8,31.2,3.33,84.22,0.0,yes
Participation change,Significantly increased,17,28,WordPress now,0.0,35.3,64.7,64.7,3.71,84.22,0.0,yes
Participation change,All respondents,431,31,WordPress future,39.0,36.7,24.4,-14.6,2.8,67.92,0.0,yes
Participation change,No change / About the same,199,31,WordPress future,31.2,37.7,31.2,0.0,2.99,67.92,0.0,yes
Participation change,Decreased,94,31,WordPress future,51.1,41.5,7.4,-43.6,2.47,67.92,0.0,yes
Participation change,Significantly decreased,73,31,WordPress future,64.4,27.4,8.2,-56.2,2.16,67.92,0.0,yes
Participation change,Increased,48,31,WordPress future,22.9,37.5,39.6,16.7,3.25,67.92,0.0,yes
Participation change,Significantly increased,17,31,WordPress future,0.0,35.3,64.7,64.7,3.76,67.92,0.0,yes
Participation change,All respondents,431,59,Open source software,3.9,14.4,81.7,77.7,4.16,7.64,0.1056,no
Participation change,No change / About the same,199,59,Open source software,3.5,11.6,84.9,81.4,4.26,7.64,0.1056,no
Participation change,Decreased,94,59,Open source software,5.3,20.2,74.5,69.1,4.01,7.64,0.1056,no
Participation change,Significantly decreased,73,59,Open source software,6.8,15.1,78.1,71.2,4.01,7.64,0.1056,no
Participation change,Increased,48,59,Open source software,0.0,10.4,89.6,89.6,4.27,7.64,0.1056,no
Participation change,Significantly increased,17,59,Open source software,0.0,23.5,76.5,76.5,4.24,7.64,0.1056,no
Participation change,All respondents,431,68,AI in WordPress,49.9,33.2,16.9,-32.9,2.35,26.51,3e-05,yes
Participation change,No change / About the same,199,68,AI in WordPress,53.3,29.1,17.6,-35.7,2.26,26.51,3e-05,yes
Participation change,Decreased,94,68,AI in WordPress,53.2,31.9,14.9,-38.3,2.28,26.51,3e-05,yes
Participation change,Significantly decreased,73,68,AI in WordPress,57.5,37.0,5.5,-52.1,2.11,26.51,3e-05,yes
Participation change,Increased,48,68,AI in WordPress,31.2,43.8,25.0,-6.2,2.83,26.51,3e-05,yes
Participation change,Significantly increased,17,68,AI in WordPress,11.8,41.2,47.1,35.3,3.35,26.51,3e-05,yes
Participation change,All respondents,431,69,AI in web development,44.8,20.6,34.6,-10.2,2.7,23.38,0.00011,yes
Participation change,No change / About the same,199,69,AI in web development,49.7,18.6,31.7,-18.1,2.5,23.38,0.00011,yes
Participation change,Decreased,94,69,AI in web development,48.9,24.5,26.6,-22.3,2.63,23.38,0.00011,yes
Participation change,Significantly decreased,73,69,AI in web development,43.8,21.9,34.2,-9.6,2.73,23.38,0.00011,yes
Participation change,Increased,48,69,AI in web development,31.2,16.7,52.1,20.8,3.17,23.38,0.00011,yes
Participation change,Significantly increased,17,69,AI in web development,5.9,29.4,64.7,58.8,4.0,23.38,0.00011,yes
Participation change,All respondents,431,67,AI in tech industry,46.2,22.7,31.1,-15.1,2.6,19.94,0.00051,yes
Participation change,No change / About the same,199,67,AI in tech industry,51.3,21.1,27.6,-23.6,2.41,19.94,0.00051,yes
Participation change,Decreased,94,67,AI in tech industry,51.1,21.3,27.7,-23.4,2.53,19.94,0.00051,yes
