question_number,scale_type,item,export_column,n,mean,pct_1_2,pct_3,pct_4_5,pct_5,net,top_box_label
38,importance,Project governance/policies,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project governance/policies required)",431,3.85,10.4,23.2,66.4,32.7,55.9,very important
57,importance,A location local to you,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A location local to you required)",431,3.73,13.9,20.2,65.9,27.8,52.0,very important
57,importance,Community development/engagement,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Community development/engagement required)",431,3.61,11.8,26.7,61.5,18.3,49.7,very important
57,importance,Networking opportunities,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Networking opportunities required)",431,3.65,14.2,25.3,60.6,25.1,46.4,very important
38,importance,Understanding how to participate,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Understanding how to participate)",431,3.59,10.7,29.7,59.6,16.2,49.0,very important
38,importance,Impact of my participation on my professional or personal life,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my participation on my professional or personal life)",431,3.6,9.5,32.0,58.5,15.3,49.0,very important
38,importance,Working asynchronously,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Working asynchronously required)",431,3.61,11.6,32.9,55.5,24.1,43.9,very important
57,importance,Cost of ticket,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Cost of ticket required)",431,3.44,19.5,26.0,54.5,17.6,35.0,very important
57,importance,A regional/destination location,"When deciding to attend in-person conferences or events, how important are each of the following to you? (A regional/destination location required)",431,3.42,16.7,29.0,54.3,13.9,37.6,very important
38,importance,Participation in the WordPress community,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participation in the WordPress community required)",431,3.52,10.0,36.7,53.4,15.3,43.4,very important
57,importance,"Hard skill development (technical instruction, workshops, etc.)","When deciding to attend in-person conferences or events, how important are each of the following to you? (Hard skill development (technical instruction, workshops, etc.) required)",431,3.37,18.1,29.0,52.9,11.8,34.8,very important
38,importance,Project roadmap,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project roadmap)",431,3.43,17.2,31.1,51.7,14.2,34.6,very important
62,importance,Open source in AI,How important are the following to you? (Open source in AI required),431,3.24,29.2,20.6,50.1,27.4,20.9,very important
34,importance,WordPress events and meetups,How important are each of the following aspects of the WordPress open source project to you? (WordPress events and meetups required),431,3.26,26.7,23.2,50.1,19.5,23.4,very important
38,importance,Impact of my contributions to the project,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my contributions to the project)",431,3.4,14.4,37.8,47.8,12.8,33.4,very important
50,agreement,Attending in-person WordPress-related events is important to me.,Attending in-person WordPress-related events is important to me.,431,3.13,35.3,18.1,46.6,21.3,11.4,strongly agree
34,importance,Contributing to WordPress,How important are each of the following aspects of the WordPress open source project to you? (Contributing to WordPress required),431,3.31,18.8,35.5,45.7,13.9,26.9,very important
19,agreement,I consider myself to be a contributor to the WordPress open source project.,I consider myself to be a contributor to the WordPress open source project.,431,3.04,37.1,20.9,42.0,17.6,4.9,strongly agree
34,importance,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.)","How important are each of the following aspects of the WordPress open source project to you? (Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.) required)",431,3.14,25.5,32.9,41.5,12.5,16.0,very important
34,importance,Enterprise/scale issues,How important are each of the following aspects of the WordPress open source project to you? (Enterprise/scale issues required),431,3.13,24.8,35.0,40.1,11.1,15.3,very important
57,importance,Particular speakers / keynotes,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Particular speakers / keynotes required)",431,3.14,21.8,39.4,38.7,7.7,16.9,very important
57,importance,"Soft skill development (business development, personal development, etc.)","When deciding to attend in-person conferences or events, how important are each of the following to you? (Soft skill development (business development, personal development, etc.) required)",431,3.08,24.8,36.7,38.5,6.7,13.7,very important
69,sentiment,"Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?","Right now, how do you generally feel about AI in web development (vibe coding, agentic development, etc.)?",431,2.7,44.8,20.6,34.6,12.5,-10.2,very positive
38,importance,Financial incentives/restraints,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Financial incentives/restraints)",431,3.05,27.4,39.0,33.6,11.8,6.3,very important
38,importance,Mentorship or guidance,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Mentorship or guidance)",431,3.08,23.9,42.7,33.4,7.4,9.5,very important
28,sentiment,"Right now, how do you feel overall about the WordPress open source project?","Right now, how do you feel overall about the WordPress open source project?",431,2.87,38.1,29.2,32.7,4.6,-5.3,very positive
67,sentiment,"Right now, how do you generally feel about AI in the tech industry?","Right now, how do you generally feel about AI in the tech industry?",431,2.6,46.2,22.7,31.1,10.0,-15.1,very positive
34,importance,AI in WordPress,How important are each of the following aspects of the WordPress open source project to you? (AI in WordPress required),431,2.47,52.7,18.3,29.0,12.8,-23.7,very important
57,importance,Meeting professional development requirements,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Meeting professional development requirements required)",431,2.83,32.0,39.2,28.8,7.0,-3.2,very important
57,importance,Events with smaller attendance,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with smaller attendance required)",431,2.91,24.8,50.1,25.1,3.9,0.2,very important
31,sentiment,How do you feel about the future of the WordPress open source project?,How do you feel about the future of the WordPress open source project?,431,2.8,39.0,36.7,24.4,5.1,-14.6,very positive
38,importance,Participating in a language other than English,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Participating in a language other than English required)",431,2.46,45.2,35.0,19.7,6.3,-25.5,very important
57,importance,Events with larger attendance,"When deciding to attend in-person conferences or events, how important are each of the following to you? (Events with larger attendance required)",431,2.72,31.6,51.5,16.9,2.8,-14.6,very important
68,sentiment,"Right now, how do you generally feel about AI in WordPress?","Right now, how do you generally feel about AI in WordPress?",431,2.35,49.9,33.2,16.9,3.9,-32.9,very positive
