question_number,column_role,export_column,response,count,pct_of_431,pct_of_answered,note
9,free text,Which of the following WordPress-related activities do you engage in?,(free text - not published),431,100.0,,
9,option,I use the WordPress open source software,I use the WordPress open source software,401,93.04,100.0,
9,option,I follow updates and discussions about the WordPress open source project,I follow updates and discussions about the WordPress open source project,341,79.12,100.0,
9,option,I participate in WordPress-related events,I participate in WordPress-related events,226,52.44,100.0,
9,option,I contribute to the software development of the WordPress open source,I contribute to the software development of the WordPress open source,120,27.84,100.0,
9,option,I contribute to the community development of the WordPress open source project community development,I contribute to the community development of the WordPress open source project community development,135,31.32,100.0,
9,option,I generate income using the WordPress open source software,I generate income using the WordPress open source software,269,62.41,100.0,
9,option,I work for a company that operates in the WordPress ecosystem,I work for a company that operates in the WordPress ecosystem,171,39.68,100.0,
9,option,"I use WordPress as part of my job or professional work, but my company is not directly involved in the WordPress ecosystem","I use WordPress as part of my job or professional work, but my company is not directly involved in the WordPress ecosystem",152,35.27,100.0,
9,option,I use WordPress personally or for my own organization/project,I use WordPress personally or for my own organization/project,314,72.85,100.0,
9,option,I do not currently participate in WordPress-related activities,I do not currently participate in WordPress-related activities,23,5.34,100.0,
9,option,Other (please describe),Other (please describe),11,2.55,100.0,
11,free text,Where do you participate in the WordPress open source project?,(free text - not published),431,100.0,,
11,option,Make WordPress,Make WordPress,157,36.43,100.0,
11,option,WordPress.org,WordPress.org,206,47.8,100.0,
11,option,Official WordPress events,Official WordPress events,218,50.58,100.0,
11,option,WordPress-adjacent events,WordPress-adjacent events,86,19.95,100.0,
11,option,Membership-based communities,Membership-based communities,131,30.39,100.0,
11,option,Product-related communities,Product-related communities,96,22.27,100.0,
11,option,WordPress communities on social media,WordPress communities on social media,169,39.21,100.0,
11,option,I do not participate in the WordPress open source project.,I do not participate in the WordPress open source project.,91,21.11,100.0,
9,option,Other (please describe) (2),Other (please describe),16,3.71,100.0,
12,free text,Describe where you participate in the WordPress open source project:,(free text - not published),16,3.71,,
13,free text,Which of the following describe the type of work you do with regard to the WordPress open source project?,(free text - not published),431,100.0,,
13,option,Building or developing with WordPress,Building or developing with WordPress,334,77.49,100.0,
13,option,Creating products to use with WordPress,Creating products to use with WordPress,215,49.88,100.0,
13,option,Providing services to WordPress users or businesses,Providing services to WordPress users or businesses,234,54.29,100.0,
13,option,Contributing to the WordPress open source project,Contributing to the WordPress open source project,127,29.47,100.0,
13,option,Contributing to the WordPress community,Contributing to the WordPress community,181,42.0,100.0,
13,option,Using WordPress personally or for your organization,Using WordPress personally or for your organization,316,73.32,100.0,
13,option,Working adjacent to WordPress (not directly building or using it),Working adjacent to WordPress (not directly building or using it),39,9.05,100.0,
13,option,Not currently using WordPress,Not currently using WordPress,10,2.32,100.0,
9,option,Other (please describe) (3),Other (please describe),6,1.39,100.0,
14,free text,Describe your working situation with regard to the WordPress open source project.,(free text - not published),6,1.39,,
15,question,Are you or have you ever been paid for any of your time spent participating in the WordPress open source project?,No - I am not paid for any of my participation in WordPress,248,57.54,57.54,
15,question,Are you or have you ever been paid for any of your time spent participating in the WordPress open source project?,Yes directly - Some or all of my work duties include participating in WordPress,116,26.91,26.91,
15,question,Are you or have you ever been paid for any of your time spent participating in the WordPress open source project?,Yes indirectly - I participate in WordPress for work but am not required to do so,67,15.55,15.55,
16,question,Are you currently being paid for any of your time spent participating in the WordPress open source project?,(never displayed - see note),0,0.0,,conditional routing fault - see LIMITATIONS 5a
17,question,Does the WordPress open source project affect your income?,Yes,205,47.56,47.56,
17,question,Does the WordPress open source project affect your income?,No,138,32.02,32.02,
17,question,Does the WordPress open source project affect your income?,Partially,82,19.03,19.03,
17,question,Does the WordPress open source project affect your income?,Other,6,1.39,1.39,
18,free text,How does the WordPress open source project affect your income?,(free text - not published),163,37.82,,
19,question,I consider myself to be a contributor to the WordPress open source project.,Agree,105,24.36,24.36,
19,question,I consider myself to be a contributor to the WordPress open source project.,Neutral,90,20.88,20.88,
19,question,I consider myself to be a contributor to the WordPress open source project.,Disagree,81,18.79,18.79,
19,question,I consider myself to be a contributor to the WordPress open source project.,Strongly disagree,79,18.33,18.33,
19,question,I consider myself to be a contributor to the WordPress open source project.,Strongly agree,76,17.63,17.63,
20,free text,Which forms of contribution describe your participation in the WordPress open source project?,(free text - not published),181,42.0,,
20,option,Code/programming,Code/programming,100,23.2,100.0,
20,option,Documentation,Documentation,56,12.99,100.0,
20,option,Maintenance,Maintenance,76,17.63,100.0,
20,option,Training/education,Training/education,64,14.85,100.0,
20,option,Translation,Translation,60,13.92,100.0,
20,option,Testing,Testing,55,12.76,100.0,
20,option,Standards,Standards,24,5.57,100.0,
20,option,Compliance,Compliance,8,1.86,100.0,
20,option,Administrative/management,Administrative/management,16,3.71,100.0,
20,option,Community development,Community development,57,13.23,100.0,
20,option,Events,Events,99,22.97,100.0,
20,option,Marketing,Marketing,16,3.71,100.0,
20,option,Sponsorship,Sponsorship,18,4.18,100.0,
20,option,Project governance and policy,Project governance and policy,8,1.86,100.0,
20,option,Community participation,Community participation,99,22.97,100.0,
20,option,Community leadership,Community leadership,42,9.74,100.0,
20,option,Unofficial WordPress events and groups,Unofficial WordPress events and groups,41,9.51,100.0,
2,option,Other (2),Other,10,2.32,100.0,
21,free text,What other form of contribution describes your participation in the WordPress open source project?,(free text - not published),10,2.32,,
22,question,I consider myself to be a member of the WordPress community.,Agree,166,38.52,38.52,
22,question,I consider myself to be a member of the WordPress community.,Strongly agree,142,32.95,32.95,
22,question,I consider myself to be a member of the WordPress community.,Neutral,70,16.24,16.24,
22,question,I consider myself to be a member of the WordPress community.,Disagree,36,8.35,8.35,
22,question,I consider myself to be a member of the WordPress community.,Strongly disagree,17,3.94,3.94,
23,question,How long have you been part of the WordPress community?,15+ years,127,29.47,41.23,
23,question,How long have you been part of the WordPress community?,10-15 years,110,25.52,35.71,
23,question,How long have you been part of the WordPress community?,6-10 years,47,10.9,15.26,
23,question,How long have you been part of the WordPress community?,3-6 years,18,4.18,5.84,
23,question,How long have you been part of the WordPress community?,1-2 years,5,1.16,1.62,
23,question,How long have you been part of the WordPress community?,Less than 1 year,1,0.23,0.32,
24,question,Have you ever considered yourself a member of the WordPress community?,No,67,15.55,54.47,
24,question,Have you ever considered yourself a member of the WordPress community?,Yes,56,12.99,45.53,
25,question,How long were you a part of the WordPress community?,10-15 years,12,2.78,21.43,
25,question,How long were you a part of the WordPress community?,3-6 years,11,2.55,19.64,
25,question,How long were you a part of the WordPress community?,1-2 years,10,2.32,17.86,
25,question,How long were you a part of the WordPress community?,6-10 years,9,2.09,16.07,
25,question,How long were you a part of the WordPress community?,15+ years,8,1.86,14.29,
25,question,How long were you a part of the WordPress community?,Less than 1 year,6,1.39,10.71,
26,free text,Why do you not consider yourself to be a member of the WordPress community?,(free text - not published),24,5.57,,
27,free text,Why do you no longer consider yourself to be a member of the WordPress community?,(free text - not published),41,9.51,,
28,question,"Right now, how do you feel overall about the WordPress open source project?",Neutral / Unsure,126,29.23,29.23,
28,question,"Right now, how do you feel overall about the WordPress open source project?",Positive,121,28.07,28.07,
28,question,"Right now, how do you feel overall about the WordPress open source project?",Negative,111,25.75,25.75,
28,question,"Right now, how do you feel overall about the WordPress open source project?",Very negative,53,12.3,12.3,
28,question,"Right now, how do you feel overall about the WordPress open source project?",Very positive,20,4.64,4.64,
29,question,Has your sentiment toward the WordPress open source project changed over the past 24 months?,Yes,333,77.26,77.26,
29,question,Has your sentiment toward the WordPress open source project changed over the past 24 months?,No,98,22.74,22.74,
30,question,How has your sentiment toward the WordPress open source project changed over the past 24 months?,I feel more negatively about the WordPress open source project than I did 24 months ago,331,76.8,92.98,
30,question,How has your sentiment toward the WordPress open source project changed over the past 24 months?,I feel more positively about the WordPress open source project than I did 24 months ago,25,5.8,7.02,
31,question,How do you feel about the future of the WordPress open source project?,Neutral / Unsure,158,36.66,36.66,
31,question,How do you feel about the future of the WordPress open source project?,Negative,121,28.07,28.07,
31,question,How do you feel about the future of the WordPress open source project?,Positive,83,19.26,19.26,
31,question,How do you feel about the future of the WordPress open source project?,Very negative,47,10.9,10.9,
31,question,How do you feel about the future of the WordPress open source project?,Very positive,22,5.1,5.1,
32,free text,What is supporting your positive feelings about the future of the WordPress open source project?,(free text - not published),54,12.53,,
33,free text,What is affecting your negative feelings about the future of the WordPress open source project?,(free text - not published),133,30.86,,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress open source software required),Very Important,282,65.43,65.43,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress open source software required),Important,123,28.54,28.54,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress open source software required),Neutral,20,4.64,4.64,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress open source software required),Somewhat unimportant,4,0.93,0.93,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress open source software required),Not Important,2,0.46,0.46,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (The WordPress community required),Very Important,180,41.76,41.76,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (The WordPress community required),Important,166,38.52,38.52,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (The WordPress community required),Neutral,55,12.76,12.76,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (The WordPress community required),Somewhat unimportant,20,4.64,4.64,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (The WordPress community required),Not Important,10,2.32,2.32,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress events and meetups required),Important,132,30.63,30.63,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress events and meetups required),Neutral,100,23.2,23.2,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress events and meetups required),Very Important,84,19.49,19.49,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress events and meetups required),Not Important,74,17.17,17.17,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress events and meetups required),Somewhat unimportant,41,9.51,9.51,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Contributing to WordPress required),Neutral,153,35.5,35.5,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Contributing to WordPress required),Important,137,31.79,31.79,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Contributing to WordPress required),Very Important,60,13.92,13.92,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Contributing to WordPress required),Not Important,44,10.21,10.21,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Contributing to WordPress required),Somewhat unimportant,37,8.58,8.58,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Open source values required),Very Important,267,61.95,61.95,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Open source values required),Important,124,28.77,28.77,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Open source values required),Neutral,29,6.73,6.73,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Open source values required),Not Important,8,1.86,1.86,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Open source values required),Somewhat unimportant,3,0.7,0.7,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (AI in WordPress required),Not Important,181,42.0,42.0,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (AI in WordPress required),Neutral,79,18.33,18.33,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (AI in WordPress required),Important,70,16.24,16.24,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (AI in WordPress required),Very Important,55,12.76,12.76,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (AI in WordPress required),Somewhat unimportant,46,10.67,10.67,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Security in WordPress required),Very Important,326,75.64,75.64,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Security in WordPress required),Important,84,19.49,19.49,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Security in WordPress required),Neutral,15,3.48,3.48,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Security in WordPress required),Not Important,5,1.16,1.16,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Security in WordPress required),Somewhat unimportant,1,0.23,0.23,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Web standards and compliance required),Very Important,284,65.89,65.89,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Web standards and compliance required),Important,120,27.84,27.84,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Web standards and compliance required),Neutral,20,4.64,4.64,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Web standards and compliance required),Not Important,5,1.16,1.16,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Web standards and compliance required),Somewhat unimportant,2,0.46,0.46,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress leadership required),Very Important,187,43.39,43.39,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress leadership required),Important,131,30.39,30.39,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress leadership required),Neutral,78,18.1,18.1,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress leadership required),Not Important,22,5.1,5.1,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress leadership required),Somewhat unimportant,13,3.02,3.02,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress governance required),Very Important,219,50.81,50.81,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress governance required),Important,111,25.75,25.75,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress governance required),Neutral,76,17.63,17.63,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress governance required),Not Important,20,4.64,4.64,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (WordPress governance required),Somewhat unimportant,5,1.16,1.16,
34,matrix row,"How important are each of the following aspects of the WordPress open source project to you? (Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.) required)",Neutral,142,32.95,32.95,
34,matrix row,"How important are each of the following aspects of the WordPress open source project to you? (Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.) required)",Important,125,29.0,29.0,
34,matrix row,"How important are each of the following aspects of the WordPress open source project to you? (Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.) required)",Not Important,64,14.85,14.85,
34,matrix row,"How important are each of the following aspects of the WordPress open source project to you? (Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.) required)",Very Important,54,12.53,12.53,
34,matrix row,"How important are each of the following aspects of the WordPress open source project to you? (Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc.) required)",Somewhat unimportant,46,10.67,10.67,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Enterprise/scale issues required),Neutral,151,35.03,35.03,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Enterprise/scale issues required),Important,125,29.0,29.0,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Enterprise/scale issues required),Not Important,60,13.92,13.92,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Enterprise/scale issues required),Very Important,48,11.14,11.14,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Enterprise/scale issues required),Somewhat unimportant,47,10.9,10.9,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Collaboration with the greater open source ecosystem required),Important,180,41.76,41.76,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Collaboration with the greater open source ecosystem required),Very Important,112,25.99,25.99,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Collaboration with the greater open source ecosystem required),Neutral,101,23.43,23.43,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Collaboration with the greater open source ecosystem required),Somewhat unimportant,24,5.57,5.57,
34,matrix row,How important are each of the following aspects of the WordPress open source project to you? (Collaboration with the greater open source ecosystem required),Not Important,14,3.25,3.25,
35,free text,What other aspects of the WordPress open source project are important to you?,(free text - not published),96,22.27,,
36,question,How would you describe your current level of community participation in the WordPress open source project?,Occasional participation,144,33.41,33.41,
36,question,How would you describe your current level of community participation in the WordPress open source project?,Observational only,97,22.51,22.51,
36,question,How would you describe your current level of community participation in the WordPress open source project?,Moderately active participation,76,17.63,17.63,
36,question,How would you describe your current level of community participation in the WordPress open source project?,Very active participation,44,10.21,10.21,
36,question,How would you describe your current level of community participation in the WordPress open source project?,Inactive,35,8.12,8.12,
36,question,How would you describe your current level of community participation in the WordPress open source project?,Do not participate / Not applicable,35,8.12,8.12,
37,question,Has your level of community participation in the WordPress open source project changed in the last 24 months?,No change / About the same,199,46.17,46.17,
37,question,Has your level of community participation in the WordPress open source project changed in the last 24 months?,Decreased,94,21.81,21.81,
37,question,Has your level of community participation in the WordPress open source project changed in the last 24 months?,Significantly decreased,73,16.94,16.94,
37,question,Has your level of community participation in the WordPress open source project changed in the last 24 months?,Increased,48,11.14,11.14,
37,question,Has your level of community participation in the WordPress open source project changed in the last 24 months?,Significantly increased,17,3.94,3.94,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Personal capacity)",Very Important,192,44.55,44.55,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Personal capacity)",Important,165,38.28,38.28,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Personal capacity)",Neutral,58,13.46,13.46,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Personal capacity)",Somewhat unimportant,9,2.09,2.09,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Personal capacity)",Not Important,7,1.62,1.62,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Financial incentives/restraints)",Neutral,168,38.98,38.98,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Financial incentives/restraints)",Important,94,21.81,21.81,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Financial incentives/restraints)",Somewhat unimportant,62,14.39,14.39,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Financial incentives/restraints)",Not Important,56,12.99,12.99,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Financial incentives/restraints)",Very Important,51,11.83,11.83,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my contributions to the project)",Neutral,163,37.82,37.82,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my contributions to the project)",Important,151,35.03,35.03,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my contributions to the project)",Very Important,55,12.76,12.76,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my contributions to the project)",Somewhat unimportant,37,8.58,8.58,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my contributions to the project)",Not Important,25,5.8,5.8,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my participation on my professional or personal life)",Important,186,43.16,43.16,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my participation on my professional or personal life)",Neutral,138,32.02,32.02,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my participation on my professional or personal life)",Very Important,66,15.31,15.31,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my participation on my professional or personal life)",Somewhat unimportant,23,5.34,5.34,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Impact of my participation on my professional or personal life)",Not Important,18,4.18,4.18,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Understanding how to participate)",Important,187,43.39,43.39,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Understanding how to participate)",Neutral,128,29.7,29.7,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Understanding how to participate)",Very Important,70,16.24,16.24,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Understanding how to participate)",Not Important,26,6.03,6.03,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Understanding how to participate)",Somewhat unimportant,20,4.64,4.64,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Mentorship or guidance)",Neutral,184,42.69,42.69,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Mentorship or guidance)",Important,112,25.99,25.99,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Mentorship or guidance)",Somewhat unimportant,63,14.62,14.62,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Mentorship or guidance)",Not Important,40,9.28,9.28,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Mentorship or guidance)",Very Important,32,7.42,7.42,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project roadmap)",Important,162,37.59,37.59,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project roadmap)",Neutral,134,31.09,31.09,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project roadmap)",Very Important,61,14.15,14.15,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project roadmap)",Somewhat unimportant,48,11.14,11.14,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project roadmap)",Not Important,26,6.03,6.03,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project leadership)",Important,149,34.57,34.57,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project leadership)",Very Important,141,32.71,32.71,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project leadership)",Neutral,87,20.19,20.19,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project leadership)",Somewhat unimportant,33,7.66,7.66,
38,question,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project leadership)",Not Important,21,4.87,4.87,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project governance/policies required)",Important,145,33.64,33.64,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project governance/policies required)",Very Important,141,32.71,32.71,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project governance/policies required)",Neutral,100,23.2,23.2,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project governance/policies required)",Somewhat unimportant,29,6.73,6.73,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Project governance/policies required)",Not Important,16,3.71,3.71,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Advocacy on behalf of web standards (accessibility, privacy, etc.) required)",Important,181,42.0,42.0,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Advocacy on behalf of web standards (accessibility, privacy, etc.) required)",Very Important,145,33.64,33.64,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Advocacy on behalf of web standards (accessibility, privacy, etc.) required)",Neutral,72,16.71,16.71,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Advocacy on behalf of web standards (accessibility, privacy, etc.) required)",Somewhat unimportant,23,5.34,5.34,
38,matrix row,"When deciding to participate in the WordPress open source project, how important are each of the following to you? (Advocacy on behalf of web standards (accessibility, privacy, etc.) required)",Not Important,10,2.32,2.32,
